genus	primary_coefficient	q_value	bootstrap_support	Spearman_direction	sensitivity_direction_fraction	purity_adjusted_direction	immune_adjusted_direction	stromal_adjusted_direction	contamination_category	maximum_cooks_distance_concern	leave_one_sample_out_sign_stability	final_Phase_7A_evidence_category	reviewer_assessment	reviewer_notes
Sphingomonas	-0.1958906821332504	0.0114497464638622	[-0.3068, -0.0774]	negative	0.8888888888888888	negative	negative	negative	BIOLOGICALLY_PLAUSIBLE_BUT_CONTAMINATION_SENSITIVE	YES	Stable	CONTAMINATION_SENSITIVE	ACCEPT	Verified contamination-sensitive: BIOLOGICALLY_PLAUSIBLE_BUT_CONTAMINATION_SENSITIVE. Correlation with total sum proxy: rho=-0.55
Rhizorhabdus	-0.2770978468181074	0.0125332659251549	[-0.4404, -0.0992]	negative	0.8888888888888888	negative	negative	negative	LOW_CURRENT_CONCERN	YES	Stable	CONTAMINATION_SENSITIVE	ACCEPT	Verified contamination-sensitive: LOW_CURRENT_CONCERN. Correlation with total sum proxy: rho=-0.61
Rhizobium	-0.3054503657451042	0.0134572098043484	[-0.4881, -0.1281]	negative	0.8888888888888888	negative	negative	negative	BIOLOGICALLY_PLAUSIBLE_BUT_CONTAMINATION_SENSITIVE	YES	Stable	ROBUST_ASSOCIATION	ACCEPT	Verified robust per locked rules (same fraction=0.889), but shows sign reversal in robust CLR.
Cutibacterium	-0.3354316936798457	0.015914294183621	[-0.5344, -0.1327]	negative	0.8888888888888888	negative	negative	negative	LOW_CURRENT_CONCERN	YES	Stable	ROBUST_ASSOCIATION	ACCEPT	Verified robust per locked rules (same fraction=0.889), but shows sign reversal in robust CLR.
Burkholderia	-0.1684964636863818	0.0227865575306489	[-0.2721, -0.0563]	negative	0.8888888888888888	negative	negative	negative	BIOLOGICALLY_PLAUSIBLE_BUT_CONTAMINATION_SENSITIVE	YES	Stable	ROBUST_ASSOCIATION	ACCEPT	Verified robust per locked rules (same fraction=0.889), but shows sign reversal in robust CLR.
Fusarium	-0.554179981365673	0.0227865575306489	[-0.9056, -0.1675]	negative	0.875	negative	negative	negative	LOW_CURRENT_CONCERN	YES	Stable	METHOD_SENSITIVE	ACCEPT	Verified method-sensitive: sign reversal in robust CLR (coefficient: 0.2186).
Chryseobacterium	0.3751054796443778	0.0246518080810905	[0.1338, 0.6491]	positive	0.8888888888888888	positive	positive	positive	LOW_CURRENT_CONCERN	YES	Stable	ROBUST_ASSOCIATION	ACCEPT	Verified robust per locked rules (same fraction=0.889), but shows sign reversal in robust CLR.
Staphylococcus	-0.4506854397751492	0.0348465921471462	[-0.7437, -0.1368]	negative	1.0	negative	negative	negative	LOW_CURRENT_CONCERN	YES	Stable	SUGGESTIVE_ASSOCIATION	ACCEPT	Verified suggestive: downgraded due to leverage concern (2 samples with Cook distance > 4/n).
Methylorubrum	0.5232445227288702	0.0383186876278366	[0.1598, 0.8945]	positive	0.8888888888888888	positive	positive	positive	LOW_CURRENT_CONCERN	YES	Stable	METHOD_SENSITIVE	ACCEPT	Verified method-sensitive: sign reversal in robust CLR (coefficient: -0.0925).
Ochrobactrum	0.8384922431539966	0.0389320253850124	[0.2120, 1.4175]	positive	1.0	positive	positive	positive	LOW_CURRENT_CONCERN	YES	Stable	ROBUST_ASSOCIATION	ACCEPT	Verified: q=0.0389, bootstrap excludes zero, stable direction under LOO.
Herbaspirillum	0.3666245045673405	0.038992214787572	[0.1168, 0.6145]	positive	0.875	positive	positive	positive	MODERATE_RISK_ENVIRONMENTAL	YES	Stable	ROBUST_ASSOCIATION	ACCEPT	Verified robust per locked rules (same fraction=0.875), but shows sign reversal in robust CLR.
Methylibium	0.3477265079148487	0.0401688435697209	[0.0921, 0.5785]	positive	0.8888888888888888	positive	positive	positive	LOW_CURRENT_CONCERN	YES	Stable	METHOD_SENSITIVE	ACCEPT	Verified method-sensitive: sign reversal in robust CLR (coefficient: -0.2081).
Azoarcus	-0.2006526248572214	0.0401688435697209	[-0.3486, -0.0559]	negative	0.8888888888888888	negative	negative	negative	LOW_CURRENT_CONCERN	YES	Stable	ROBUST_ASSOCIATION	ACCEPT	Verified robust per locked rules (same fraction=0.889), but shows sign reversal in robust CLR.
Ensifer	0.4155740207649449	0.0401688435697209	[0.1017, 0.7128]	positive	0.8888888888888888	positive	positive	positive	LOW_CURRENT_CONCERN	YES	Stable	ROBUST_ASSOCIATION	ACCEPT	Verified robust per locked rules (same fraction=0.889), but shows sign reversal in robust CLR.
