dataset_id	accession	patient_count	section_count	ROI_count	segment_count	spot_count	passes_locked_qc
HWANG_GSE202051_NAIVE	GSE202051/GSE199102	13	13	127	373	0	True
HWANG_GSE202051_TREATED	GSE202051/GSE199102	7	7	67	197	0	True
MONCADA_GSE111672	GSE111672	2	6	0	0	3119	True
