genus	evidence_category	primary_q_value	reasons
Kocuria	METHOD_SENSITIVE	0.9360958545756028	primary_q=0.936096; primary_direction=positive; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=True; contamination_sensitive=False
Bosea	NO_SUPPORTED_ASSOCIATION	0.12998225181044593	primary_q=0.129982; primary_direction=positive; bootstrap_ci_excludes_zero=True; spearman_same_direction=True; preprocessing_same_direction_fraction=1; sign_reversal=False; influence_sensitive=False; contamination_sensitive=False
Phenylobacterium	METHOD_SENSITIVE	0.9690616859343562	primary_q=0.969062; primary_direction=negative; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=0.667; sign_reversal=True; influence_sensitive=True; contamination_sensitive=False
Xanthomonas	METHOD_SENSITIVE	0.8424630264826969	primary_q=0.842463; primary_direction=positive; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=True; contamination_sensitive=False
Azospira	NO_SUPPORTED_ASSOCIATION	0.8759210322907267	primary_q=0.875921; primary_direction=negative; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=1; sign_reversal=False; influence_sensitive=False; contamination_sensitive=False
Deinococcus	METHOD_SENSITIVE	0.9320413253335609	primary_q=0.932041; primary_direction=negative; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=True; contamination_sensitive=False
Hydrogenophaga	CONTAMINATION_SENSITIVE	0.004435198390184966	primary_q=0.0044352; primary_direction=negative; bootstrap_ci_excludes_zero=True; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=True; contamination_sensitive=True
Porphyrobacter	METHOD_SENSITIVE	0.1471824708927222	primary_q=0.147182; primary_direction=negative; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=True; contamination_sensitive=False
Aromatoleum	METHOD_SENSITIVE	0.2005893432266214	primary_q=0.200589; primary_direction=positive; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=False; contamination_sensitive=False
Microbacterium	METHOD_SENSITIVE	0.12998225181044593	primary_q=0.129982; primary_direction=positive; bootstrap_ci_excludes_zero=True; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=False; contamination_sensitive=False
Mitsuaria	METHOD_SENSITIVE	0.9076202547853791	primary_q=0.90762; primary_direction=positive; bootstrap_ci_excludes_zero=False; spearman_same_direction=False; preprocessing_same_direction_fraction=0.857; sign_reversal=True; influence_sensitive=True; contamination_sensitive=False
Pandoraea	CONTAMINATION_SENSITIVE	0.0002775798995691816	primary_q=0.00027758; primary_direction=positive; bootstrap_ci_excludes_zero=True; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=False; contamination_sensitive=True
Rhodococcus	NO_SUPPORTED_ASSOCIATION	0.8645806217811028	primary_q=0.864581; primary_direction=negative; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=1; sign_reversal=False; influence_sensitive=True; contamination_sensitive=False
Streptococcus	METHOD_SENSITIVE	0.12998225181044593	primary_q=0.129982; primary_direction=positive; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=True; contamination_sensitive=False
Rhizorhabdus	CONTAMINATION_SENSITIVE	0.012533265925154956	primary_q=0.0125333; primary_direction=negative; bootstrap_ci_excludes_zero=True; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=False; contamination_sensitive=True
Citromicrobium	METHOD_SENSITIVE	0.9690616859343562	primary_q=0.969062; primary_direction=negative; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=0.625; sign_reversal=True; influence_sensitive=True; contamination_sensitive=False
Massilia	NO_SUPPORTED_ASSOCIATION	0.4178018872724118	primary_q=0.417802; primary_direction=positive; bootstrap_ci_excludes_zero=False; spearman_same_direction=False; preprocessing_same_direction_fraction=1; sign_reversal=False; influence_sensitive=True; contamination_sensitive=False
Candida	ROBUST_ASSOCIATION	0.0005111663925235647	primary_q=0.000511166; primary_direction=negative; bootstrap_ci_excludes_zero=True; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=False; contamination_sensitive=False
Ramlibacter	CONTAMINATION_SENSITIVE	0.004060361788598399	primary_q=0.00406036; primary_direction=negative; bootstrap_ci_excludes_zero=True; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=False; contamination_sensitive=True
Caulobacter	CONTAMINATION_SENSITIVE	0.055749415292502706	primary_q=0.0557494; primary_direction=negative; bootstrap_ci_excludes_zero=True; spearman_same_direction=True; preprocessing_same_direction_fraction=0.857; sign_reversal=True; influence_sensitive=False; contamination_sensitive=True
Bacteroides	NO_SUPPORTED_ASSOCIATION	0.6120345466005841	primary_q=0.612035; primary_direction=positive; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=1; sign_reversal=False; influence_sensitive=False; contamination_sensitive=False
Enterococcus	NO_SUPPORTED_ASSOCIATION	0.8331633079430385	primary_q=0.833163; primary_direction=negative; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=1; sign_reversal=False; influence_sensitive=False; contamination_sensitive=False
Laribacter	METHOD_SENSITIVE	0.729988955063713	primary_q=0.729989; primary_direction=positive; bootstrap_ci_excludes_zero=False; spearman_same_direction=False; preprocessing_same_direction_fraction=0.857; sign_reversal=True; influence_sensitive=False; contamination_sensitive=False
Variovorax	CONTAMINATION_SENSITIVE	0.00437079763822575	primary_q=0.0043708; primary_direction=negative; bootstrap_ci_excludes_zero=True; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=False; contamination_sensitive=True
