Power	SFT.R.sq	slope	truncated.R.sq	mean.k.	median.k.	max.k.
1	0.390259461168894	-1.28314951796458	0.791793986607543	1074.18219709095	960.392959399502	2434.54758872189
2	0.734921861752005	-1.62504481654335	0.875247372792443	329.333015697916	244.719906034822	1189.29748863807
3	0.818801021782303	-1.51333785084373	0.904307024623136	132.743496044098	75.8604249640287	669.320553250613
4	0.846145845631585	-1.44646121667994	0.917773045731804	63.8529738592797	27.147136884844	422.656325597999
5	0.875167830804378	-1.3914153027896	0.936909258348159	34.7111985527868	10.4894120932595	285.997271545211
6	0.936128523738013	-1.31920931534696	0.981976455718518	20.6184427627823	4.38920055688439	203.074732302935
7	0.938889181955305	-1.32984163464043	0.986350820946858	13.0942226047784	2.03135936530134	155.083899144099
8	0.933451343505231	-1.35892155684641	0.988422715714969	8.76165994068394	0.99914672041519	124.026309764809
9	0.93454935283714	-1.37909912720037	0.991848361175374	6.11431294410837	0.52150189086683	101.980972972443
10	0.93720116870454	-1.39545197711306	0.994755191719375	4.41740089603939	0.279467908486514	85.3515795500068
11	0.939783007221739	-1.40152204133645	0.994891701921245	3.28594335819681	0.155947714940586	72.4798810903977
12	0.925603869041335	-1.42093394170004	0.983579250901107	2.50609980870188	0.0894379969191805	62.3017870595369
13	0.928900255969222	-1.42602506978376	0.985076346451092	1.95318509214421	0.0524545028783063	54.1075207778871
14	0.927839077334557	-1.43023220038437	0.978501211255385	1.55145921837876	0.0305417455095021	47.4081564786455
15	0.935670520517013	-1.43029151518879	0.978529408479291	1.2532720918369	0.0189767106536183	41.8576062253151
16	0.936726479787282	-1.43050361448462	0.975661849014793	1.02772034468797	0.0115556023246415	37.2050956909391
17	0.954437144441355	-1.41078891760684	0.987569913695017	0.854220385519295	0.00705552688951117	33.2651809909937
18	0.950939098962803	-1.40907274355662	0.977996612215553	0.718735171702246	0.00439212135133671	29.89825483633
19	0.947311983583902	-1.41168166695962	0.974115734579519	0.611488708774957	0.00269786084885659	26.9975369322672
20	0.979705625903607	-1.37300038698717	0.998339174677786	0.525542836621843	0.00166346273720364	24.4801899764802
21	0.981367401345427	-1.3642132357971	0.996773886276173	0.455888779946096	0.00104351350822274	22.2811277693372
22	0.978913343104742	-1.35865208088329	0.986590229457705	0.3988542245089	0.0006617268540694	20.3486198563492
23	0.98436541271935	-1.35148184862412	0.989491121728213	0.351708449889536	0.000422809111381817	19.1714347841987
24	0.976388251083809	-1.36309994154512	0.980623870837099	0.312394490901481	0.000271136139228467	18.3330412382028
25	0.980937253654276	-1.369639702668	0.990926481784759	0.279344387487937	0.000175705080373012	17.5834400806419
26	0.983805544294723	-1.37029529689941	0.992609682552399	0.251349767888535	0.000113994795229777	16.9084758328707
27	0.980477683049858	-1.37711506500007	0.987158353004169	0.227469895389436	7.29939076737907e-05	16.2967065877872
28	0.976945568618006	-1.38251248199612	0.98394273820651	0.206965469742247	4.77016326658752e-05	15.7388184835299
29	0.976326752155765	-1.37857960044634	0.980421178912481	0.189250385647895	3.13758816510301e-05	15.2271793865951
30	0.979325635927507	-1.3776062734795	0.983398591894897	0.173856176796084	2.03994423471077e-05	14.7554956336019
