patient_id	major_cell_class	n_cells	marker_mean_acinar	marker_mean_b_cell	marker_mean_endocrine	marker_mean_endothelial	marker_mean_fibroblast_caf	marker_mean_malignant_or_ductal	marker_mean_mast	marker_mean_myeloid	marker_mean_nk_cell	marker_mean_t_cell
N10	endothelial	255	20.472549019607843	0.03823529411764706	0.8107843137254902	5.633986928104576	0.018300653594771243	0.3915966386554622	0.0	0.0776470588235294	0.000980392156862745	0.0
N10	fibroblast_caf	27	17.703703703703702	0.0	0.7870370370370371	0.5925925925925926	7.228395061728395	0.32275132275132273	0.0	0.02222222222222222	0.0	0.0
N10	myeloid	25	9.8	0.0	0.79	0.12	0.006666666666666667	0.26857142857142857	0.0	9.815999999999999	0.03	0.07
N10	nonmalignant_epithelial	1236	155.27851941747574	0.0016181229773462782	5.046318770226536	0.13888888888888887	0.026024811218985977	2.238673139158576	0.011866235167206042	0.141747572815534	0.0010113268608414239	0.0008090614886731392
N11	B_cell	1	1.5	0.0	1.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0
N11	T_cell	3	4.833333333333333	0.0	0.5833333333333334	0.3333333333333333	0.0	0.23809523809523808	0.0	0.0	1.8333333333333335	0.3333333333333333
N11	endothelial	769	8.135890767230169	0.029258777633289986	1.2256176853055918	2.9245773732119638	0.030342436064152583	0.1562325840609326	0.002600780234070221	0.026007802340702213	0.010078023407022105	0.006176853055916775
N11	fibroblast_caf	67	4.048507462686567	0.007462686567164179	1.1641791044776117	0.8208955223880597	6.786069651741293	0.1599147121535181	0.004975124378109453	0.029850746268656712	0.0	0.041044776119402986
N11	myeloid	60	2.433333333333333	0.004166666666666667	1.4291666666666667	0.26666666666666666	0.022222222222222227	0.07380952380952381	0.0	4.523333333333333	0.0125	0.09583333333333333
N11	nonmalignant_epithelial	482	15.067946058091287	0.001037344398340249	6.994294605809129	0.20470262793914248	0.020746887966804982	0.7786010669828097	0.008990318118948825	0.05726141078838174	0.002074688796680498	0.004149377593360996
N1	B_cell	7	1.6785714285714286	2.321428571428571	19.071428571428573	0.7619047619047619	0.38095238095238093	0.36734693877551017	0.0	0.0	0.0	0.10714285714285714
N1	T_cell	10	0.95	0.025	5.775	0.13333333333333333	0.3333333333333333	0.9714285714285714	0.0	0.04	1.7000000000000002	0.5
N1	endothelial	522	1.4482758620689655	0.028735632183908046	7.126436781609195	3.9738186462324396	0.1628352490421456	0.47865353037766833	0.0019157088122605363	0.04865900383141762	0.05890804597701149	0.026340996168582372
N1	fibroblast_caf	442	0.8201357466063348	0.004524886877828054	6.529977375565611	0.30392156862745096	11.44343891402715	0.31900452488687786	0.0	0.05113122171945702	0.01753393665158371	0.02262443438914027
N1	myeloid	91	0.9807692307692307	0.0	6.497252747252747	0.13186813186813187	0.15934065934065936	0.3861852433281005	0.0	3.4395604395604393	0.0879120879120879	0.06043956043956044
N1	nonmalignant_epithelial	1751	11.270845231296402	0.002569960022844089	43.206596230725296	0.2691795164667809	0.2525223681705692	2.695112996654973	0.005901389682086428	0.14220445459737294	0.021844660194174758	0.015848086807538547
