score	kruskal_statistic	kruskal_p_value	jonckheere_terpstra_statistic	permutation_p_value	hedges_g_basal_vs_classical	bootstrap_ci_lower	bootstrap_ci_upper	adjusted_p_value	test_family	test_name	statistic	p_value	evidence_for_two_poles	hybrid_median_midpoint_proximity	hybrid_median_coactivation	notes
basal_classical_contrast	34.57165464681344	3.110717542205788e-08	1075.0	0.000999000999000999	3.547762088093538	2.6647246689725343	5.008714783632909	0.0011988011988011988	ordered_trend							
coactivation_score	29.321164328383773	4.2952660033001553e-07	221.5	1.0	-1.9478519240694792	-3.0650636968617224	-1.2274131719992067	1.0	ordered_trend							
singscore_contrast	33.67908759831866	4.860478767020414e-08	1041.0	0.000999000999000999	3.462080186782278	2.50993519715538	4.982216988548568	0.0011988011988011988	ordered_trend							
purist_basal_probability	36.09540477015625	1.4520529154329957e-08	1089.0	0.000999000999000999	6.5922249161385835	4.093042324556506	19.964550771941582	0.0011988011988011988	ordered_trend							
moffitt_score_difference	45.68133513765062	1.203439083830761e-10	1207.0	0.000999000999000999	2.8306436508495674	2.32306280498796	3.876553023803477	0.0011988011988011988	ordered_trend							
relative_centroid_distance_score	44.96211505129912	1.7242521224869022e-10	1199.0	0.000999000999000999	4.84967591380173	3.6775970724455402	7.470672039340896	0.0011988011988011988	ordered_trend							
basal_classical_contrast									distribution	Hartigan_dip_test_requested	0.04464919981958309	0.480034148525731	False	0.8672891618727336	0.36136460934878817	hartigan_dip_test
singscore_contrast									distribution	Hartigan_dip_test_requested	0.05541224509068748	0.15927837480225582	False	0.8672891618727336	0.36136460934878817	hartigan_dip_test
