cohort_id	feature_name	model_id	term	coefficient	std_error	ci_low	ci_high	p_value	patient_count	ROI_count	segment_count	replicate_unit	inferential_unit	random_effect_structure	model_converged	reduced_model_level	reduction_reason	influential_patient_check	q_value
HWANG_GSE202051_TREATED	HALLMARK_PROTEIN_SECRETION	HWANG_GSE202051_TREATED_MODEL_A	is_tumor	0.04785367893294311	0.005009977299224366	0.038034123426463354	0.05767323443942286	1.2761505697377152e-21	7	67	197	patient	segment	(1 | patient_id) + (1 | patient_id:ROI_id)	True	Level 2	lymphoid_fraction unavailable in official segment metadata; immune segment area used as myeloid_fraction	EXECUTED_LOPO	7.656903418426293e-21
HWANG_GSE202051_TREATED	HALLMARK_PROTEIN_SECRETION	HWANG_GSE202051_TREATED_MODEL_B	Moffitt50_contrast	-0.0016652247622575749	0.0060128315723517595	-0.013450374644067023	0.010119925119551874	0.781822195086943	7	67	67	patient	segment	(1 | patient_id)	True	Level 2	lymphoid_fraction unavailable in official segment metadata; immune segment area used as myeloid_fraction	EXECUTED_LOPO	0.9381866341043315
HWANG_GSE202051_TREATED	HALLMARK_PROTEIN_SECRETION	HWANG_GSE202051_TREATED_MODEL_C	Moffitt50_contrast	-0.018656293893954682	0.005291708424486938	-0.02902804240594908	-0.008284545381960284	0.0004225708479378047	7	67	67	patient	ROI	(1 | patient_id)	False	Level 1	none	EXECUTED_LOPO	0.0009432087390025542
HWANG_GSE202051_TREATED	HALLMARK_SPERMATOGENESIS	HWANG_GSE202051_TREATED_MODEL_A	is_tumor	-0.016836535591238103	0.0048154097593476	-0.026274738719559397	-0.007398332462916808	0.0004716043695012771	7	67	197	patient	segment	(1 | patient_id) + (1 | patient_id:ROI_id)	True	Level 2	lymphoid_fraction unavailable in official segment metadata; immune segment area used as myeloid_fraction	EXECUTED_LOPO	0.0009432087390025542
HWANG_GSE202051_TREATED	HALLMARK_SPERMATOGENESIS	HWANG_GSE202051_TREATED_MODEL_B	Moffitt50_contrast	-0.00031074262770972917	0.0056024277984271864	-0.011291501112627014	0.010670015857207556	0.9557674484515876	7	67	67	patient	segment	(1 | patient_id)	True	Level 2	lymphoid_fraction unavailable in official segment metadata; immune segment area used as myeloid_fraction	EXECUTED_LOPO	0.9557674484515876
HWANG_GSE202051_TREATED	HALLMARK_SPERMATOGENESIS	HWANG_GSE202051_TREATED_MODEL_C	Moffitt50_contrast	0.003719577185391556	0.005789966036731977	-0.0076287562466031186	0.015067910617386231	0.5206019518570107	7	67	67	patient	ROI	(1 | patient_id)	True	Level 1	none	EXECUTED_LOPO	0.7809029277855162
