source	dataset_id	accession	original_filename	download_date	size	sha256	expression_scale	gene_identifier_type	sample_count	local_path
UCSC Xena GDC Hub with GDC API file-list cross-check	TCGA_PAAD	TCGA-PAAD	gdc_star_counts_files.json	2026-07-03	58537	683284405c67e35c2325b42a56a192c5ac7dbfff89fa74cdcd30cfa98fcb98d6	GDC HTSeq FPKM-UQ cohort matrix	gene symbols or Ensembl-derived row identifiers from Xena GDC hub	178	~/thesis/PDAC/02_data/external/phase9_bulk/TCGA_PAAD/gdc_star_counts_files.json
UCSC Xena GDC Hub with GDC API file-list cross-check	TCGA_PAAD	TCGA-PAAD	TCGA-PAAD.star_fpkm-uq.tsv.gz	2026-07-03	49309161	234dc4caff65a092550adf1ba4b70c91167a06f07e03fc3ff25fb641ad00381c	GDC HTSeq FPKM-UQ cohort matrix	gene symbols or Ensembl-derived row identifiers from Xena GDC hub	178	~/thesis/PDAC/02_data/external/phase9_bulk/TCGA_PAAD/TCGA-PAAD.star_fpkm-uq.tsv.gz
NCBI GEO	GSE71729	GSE71729	GSE71729_series_matrix.txt.gz	2026-07-03	15622315	b228789314ec4d866ec51b65724664abaa24b822577c55d3727820c867536a54	processed microarray intensity/log-ratio (GEO series matrix)	GEO probe IDs mapped to HGNC-like gene symbols	145	~/thesis/PDAC/02_data/external/phase9_bulk/GSE71729/GSE71729_series_matrix.txt.gz
NCBI GEO	GSE71729	GSE71729	GPL20769.soft.txt	2026-07-03	1029884	687823e0d4175b2d9d9ba6237e49d307d0e5bccf8212497f0bb56fcd6cdb4932	processed microarray intensity/log-ratio (GEO series matrix)	GEO probe IDs mapped to HGNC-like gene symbols	145	~/thesis/PDAC/02_data/external/phase9_bulk/GSE71729/GPL20769.soft.txt
NCBI GEO	GSE62452	GSE62452	GSE62452_series_matrix.txt.gz	2026-07-03	14447291	8f41d5b3f11451e653fd6bfc0c6b216c219d46711a7676d1e453dee16a078cba	processed microarray intensity/log-ratio (GEO series matrix)	GEO probe IDs mapped to HGNC-like gene symbols	69	~/thesis/PDAC/02_data/external/phase9_bulk/GSE62452/GSE62452_series_matrix.txt.gz
NCBI GEO	GSE62452	GSE62452	GPL6244.soft.txt	2026-07-03	87031808	b1b15fe032a871b24a26aae6a3d9fc2d28f081f02dbac01ec115614bb085376b	processed microarray intensity/log-ratio (GEO series matrix)	GEO probe IDs mapped to HGNC-like gene symbols	69	~/thesis/PDAC/02_data/external/phase9_bulk/GSE62452/GPL6244.soft.txt
