dataset_id	feature_name	bulk_evidence_category	eligibility	regulon_targets_expected	targets_present	regulon_target_coverage	activity_calculation_status	primary_cell_source	malignant_cell_association	coefficient	confidence_interval_low	confidence_interval_high	p_value	q_value	composition_sensitivity	negative_control_support	evidence_category	classification_reason
"PENG_CRA001160"	"MBD1"	"PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE"	"ELIGIBLE"	44	43	0.977272727272727	"EXECUTED"	"fibroblast_caf"	"NOT_SUPPORTED_AT_Q0.10"	0.0581250836508751	-0.0106659897160414	0.126916157017792	0.111896336491166	0.716597389956531	"lymphoid_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"CELL_COMPOSITION_EXPLAINED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"MBD2"	"PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE"	"ELIGIBLE"	32	28	0.875	"EXECUTED"	"endothelial"	"NOT_SUPPORTED_AT_Q0.10"	0.065472270095524	-0.0474738438029328	0.178418383993981	0.268112263963432	0.716597389956531	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"	"NEGATIVE_CONTROL_SENSITIVE"	"STROMAL_OR_IMMUNE_SOURCE_SUPPORTED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"MNT"	"EXTERNALLY_REPLICATED_HOST_FEATURE"	"ELIGIBLE"	56	54	0.964285714285714	"EXECUTED"	"B_cell"	"NOT_SUPPORTED_AT_Q0.10"	-0.0740406367140299	-0.213372715919093	0.0652914424910331	0.308937229789945	0.617874459579891	"malignant_epithelial_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"CELL_COMPOSITION_EXPLAINED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"MXI1"	"EXTERNALLY_REPLICATED_HOST_FEATURE"	"ELIGIBLE"	77	71	0.922077922077922	"EXECUTED"	"T_cell"	"NOT_SUPPORTED_AT_Q0.10"	-0.0393551374353078	-0.172421105669156	0.0937108307985405	0.568018016424098	0.922949022608732	"lymphoid_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"CELL_COMPOSITION_EXPLAINED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"OTX2"	"PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE"	"ELIGIBLE"	24	23	0.958333333333333	"EXECUTED"	"fibroblast_caf"	"NOT_SUPPORTED_AT_Q0.10"	0.00761036476441897	-0.102569556604121	0.117790286132959	0.893541373588563	0.941392340793028	"endothelial_fraction;malignant_epithelial_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"CELL_COMPOSITION_EXPLAINED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"SIX5"	"PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE"	"ELIGIBLE"	25	24	0.96	"EXECUTED"	"nonmalignant_epithelial"	"NOT_SUPPORTED_AT_Q0.10"	0.0524162746325322	-0.0912902490624879	0.196122798327552	0.482188497175188	0.716597389956531	"endothelial_fraction;malignant_epithelial_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"CELL_COMPOSITION_EXPLAINED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"SNAI2"	"EXTERNALLY_REPLICATED_HOST_FEATURE"	"ELIGIBLE"	66	62	0.939393939393939	"EXECUTED"	"B_cell"	"NOT_SUPPORTED_AT_Q0.10"	0.020968178643493	-0.118403555479841	0.160339912766827	0.770851965790881	0.922949022608732	"malignant_epithelial_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"CELL_COMPOSITION_EXPLAINED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"SNAPC4"	"PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE"	"ELIGIBLE"	30	30	1	"EXECUTED"	"endothelial"	"NOT_SUPPORTED_AT_Q0.10"	-0.00312920751512611	-0.085604595851198	0.0793461808209458	0.941392340793028	0.941392340793028	"lymphoid_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"CELL_COMPOSITION_EXPLAINED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"TFAP4"	"EXTERNALLY_REPLICATED_HOST_FEATURE"	"ELIGIBLE"	40	39	0.975	"EXECUTED"	"malignant_epithelial"	"NOT_SUPPORTED_AT_Q0.10"	0.00537962439247448	-0.102394058912725	0.113153307697674	0.922949022608732	0.922949022608732	"myeloid_fraction;lymphoid_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"CELL_COMPOSITION_EXPLAINED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"TP63"	"EXTERNALLY_REPLICATED_HOST_FEATURE"	"ELIGIBLE"	19	19	1	"EXECUTED"	"malignant_epithelial"	"NOT_SUPPORTED_AT_Q0.10"	0.17199657925387	0.0492170751567098	0.294776083351031	0.0118009662766786	0.116337626976309	"malignant_epithelial_fraction;myeloid_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"CELL_COMPOSITION_EXPLAINED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"ZBED1"	"PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE"	"ELIGIBLE"	22	22	1	"EXECUTED"	"B_cell"	"NOT_SUPPORTED_AT_Q0.10"	-0.0167053871002776	-0.0728956874040341	0.0394849132034789	0.566014947028928	0.716597389956531	"endothelial_fraction;malignant_epithelial_fraction;lymphoid_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"CELL_COMPOSITION_EXPLAINED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"ZBTB7A"	"EXTERNALLY_REPLICATED_HOST_FEATURE"	"ELIGIBLE"	90	86	0.955555555555556	"EXECUTED"	"B_cell"	"NOT_SUPPORTED_AT_Q0.10"	-0.019761602752632	-0.251593543370496	0.212070337865232	0.868839157215605	0.922949022608732	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"	"NEGATIVE_CONTROL_SENSITIVE"	"STROMAL_OR_IMMUNE_SOURCE_SUPPORTED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"ZNF24"	"EXTERNALLY_REPLICATED_HOST_FEATURE"	"ELIGIBLE"	20	20	1	"EXECUTED"	"B_cell"	"NOT_SUPPORTED_AT_Q0.10"	-0.143034161763921	-0.254173349637318	-0.0318949738905245	0.0193896044960514	0.116337626976309	"endothelial_fraction;malignant_epithelial_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"CELL_COMPOSITION_EXPLAINED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"ZNF384"	"PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE"	"ELIGIBLE"	66	63	0.954545454545455	"EXECUTED"	"endothelial"	"NOT_SUPPORTED_AT_Q0.10"	-0.0544513928156768	-0.153588490380813	0.0446857047494591	0.293351455942284	0.716597389956531	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"	"NEGATIVE_CONTROL_SENSITIVE"	"STROMAL_OR_IMMUNE_SOURCE_SUPPORTED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"ZNF740"	"PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE"	"ELIGIBLE"	38	36	0.947368421052632	"EXECUTED"	"malignant_epithelial"	"NOT_SUPPORTED_AT_Q0.10"	0.0317396723921011	-0.0337893849293304	0.0972687297135326	0.352757684119153	0.716597389956531	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"	"NEGATIVE_CONTROL_SENSITIVE"	"PARTIAL_CELLULAR_SUPPORT"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
