feature_name	feature_family	composition_covariate	eligible_patients	coefficient	confidence_interval_low	confidence_interval_high	p_value	model_diagnostics	q_value	dataset_id	localization_interpretation
"SIX5"	"partially replicated TF"	"endothelial_fraction"	35	1.24538916770363	0.172350196501469	2.31842813890579	0.0295439888856151	"HC3_OLS; residual_sd=0.3053"	0.096017963878249	"PENG_CRA001160"	"PARTLY_EXPLAINED_BY_CELL_COMPOSITION"
"SNAPC4"	"partially replicated TF"	"endothelial_fraction"	35	-0.159800814930725	-0.959864565766737	0.640262935905287	0.697958400552485	"HC3_OLS; residual_sd=0.2293"	0.783858781983309	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"ZBED1"	"partially replicated TF"	"endothelial_fraction"	35	-0.782014054178555	-1.27969071661243	-0.284337391744682	0.00415524341502869	"HC3_OLS; residual_sd=0.252"	0.0270090821976865	"PENG_CRA001160"	"PARTLY_EXPLAINED_BY_CELL_COMPOSITION"
"ZNF384"	"partially replicated TF"	"endothelial_fraction"	35	0.4280219708981	-0.390675005847089	1.24671894764329	0.312955523441066	"HC3_OLS; residual_sd=0.2269"	0.508552725591733	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"ZNF740"	"partially replicated TF"	"endothelial_fraction"	35	0.12834154240628	-0.944093904090062	1.20077698890262	0.81600029860076	"HC3_OLS; residual_sd=0.244"	0.81600029860076	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"HALLMARK_PROTEIN_SECRETION"	"Hallmark"	"fibroblast_caf_fraction"	35	0.0106025989940405	-0.0136774700853088	0.0348826680733898	0.398230207407394	"HC3_OLS; residual_sd=0.0126"	0.398230207407394	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"HALLMARK_SPERMATOGENESIS"	"Hallmark"	"fibroblast_caf_fraction"	35	0.0207909361538405	0.00241298713457991	0.039168885173101	0.0335989582873536	"HC3_OLS; residual_sd=0.01276"	0.0671979165747071	"PENG_CRA001160"	"PARTLY_EXPLAINED_BY_CELL_COMPOSITION"
"CTCFL"	"externally replicated TF"	"fibroblast_caf_fraction"	35	0.334242457828972	-0.501030095599122	1.16951501125707	0.438450425184342	"HC3_OLS; residual_sd=0.3422"	0.869661989076846	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"IRF3"	"externally replicated TF"	"fibroblast_caf_fraction"	35	1.20195242417797	-0.0595929512681406	2.46349779962408	0.0707476096684319	"HC3_OLS; residual_sd=0.4063"	0.282990438673728	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"JUNB"	"externally replicated TF"	"fibroblast_caf_fraction"	35	0.734382687356025	0.283927800017165	1.18483757469489	0.00306997203746254	"HC3_OLS; residual_sd=0.2635"	0.0368396644495505	"PENG_CRA001160"	"PARTLY_EXPLAINED_BY_CELL_COMPOSITION"
"KLF13"	"externally replicated TF"	"fibroblast_caf_fraction"	35	-0.284799768330031	-1.1175175627131	0.547918026053034	0.507302826961493	"HC3_OLS; residual_sd=0.2431"	0.869661989076846	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"KLF9"	"externally replicated TF"	"fibroblast_caf_fraction"	35	-0.0939288093427617	-1.20698785722375	1.01913023853823	0.869637920371916	"HC3_OLS; residual_sd=0.4767"	0.966949629496333	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"MNT"	"externally replicated TF"	"fibroblast_caf_fraction"	35	-0.735247729654703	-1.46706380083575	-0.00343165847365379	0.0573749564106179	"HC3_OLS; residual_sd=0.3442"	0.282990438673728	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"MXI1"	"externally replicated TF"	"fibroblast_caf_fraction"	35	-0.0702038784043521	-0.621897439587813	0.481489682779108	0.804587222855338	"HC3_OLS; residual_sd=0.2495"	0.966949629496333	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"SNAI2"	"externally replicated TF"	"fibroblast_caf_fraction"	35	-0.657815604654487	-1.65339053932423	0.337759330015258	0.204290754179475	"HC3_OLS; residual_sd=0.3709"	0.576478511687611	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"TFAP4"	"externally replicated TF"	"fibroblast_caf_fraction"	35	0.013296028262908	-0.610901652936563	0.637493709462379	0.966949629496333	"HC3_OLS; residual_sd=0.3102"	0.966949629496333	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"TP63"	"externally replicated TF"	"fibroblast_caf_fraction"	35	0.11461945259683	-0.660132379351817	0.889371284545477	0.773654129648349	"HC3_OLS; residual_sd=0.337"	0.966949629496333	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"ZBTB7A"	"externally replicated TF"	"fibroblast_caf_fraction"	35	0.0527658124895137	-1.08298777368631	1.18851939866534	0.927995926016033	"HC3_OLS; residual_sd=0.5095"	0.966949629496333	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"ZNF24"	"externally replicated TF"	"fibroblast_caf_fraction"	35	-0.434100731402646	-1.14547182218876	0.277270359383466	0.240199379869838	"HC3_OLS; residual_sd=0.2682"	0.576478511687611	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"BHLHE40"	"partially replicated TF"	"fibroblast_caf_fraction"	35	-0.940759609855115	-1.65753653306061	-0.223982686649617	0.0147842632856433	"HC3_OLS; residual_sd=0.4556"	0.0960977113566816	"PENG_CRA001160"	"PARTLY_EXPLAINED_BY_CELL_COMPOSITION"
"E2F6"	"partially replicated TF"	"fibroblast_caf_fraction"	35	-0.547881422341154	-1.22712310931443	0.131360264632122	0.123427890778378	"HC3_OLS; residual_sd=0.2688"	0.401140645029729	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"ELF1"	"partially replicated TF"	"fibroblast_caf_fraction"	35	0.0305272691089193	-0.53181671944274	0.592871257660578	0.915909120235334	"HC3_OLS; residual_sd=0.2494"	0.989043836493594	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"GRHL2"	"partially replicated TF"	"fibroblast_caf_fraction"	35	-0.295920298958195	-1.03667827872076	0.444837680804371	0.439218030114065	"HC3_OLS; residual_sd=0.3901"	0.815690627354692	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"KLF1"	"partially replicated TF"	"fibroblast_caf_fraction"	35	1.09532969686752	0.359485192620657	1.83117420111438	0.00630506037471095	"HC3_OLS; residual_sd=0.3793"	0.0819657848712423	"PENG_CRA001160"	"PARTLY_EXPLAINED_BY_CELL_COMPOSITION"
"MBD1"	"partially replicated TF"	"fibroblast_caf_fraction"	35	-0.00445287376844829	-0.635227373770946	0.62632162623405	0.989043836493594	"HC3_OLS; residual_sd=0.2756"	0.989043836493594	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"MBD2"	"partially replicated TF"	"fibroblast_caf_fraction"	35	-0.0958991311390544	-0.638294289648801	0.446496027370692	0.731136012014526	"HC3_OLS; residual_sd=0.1995"	0.864069832380803	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"OTX2"	"partially replicated TF"	"fibroblast_caf_fraction"	35	0.133692218098127	-0.145437765299788	0.412822201496042	0.354673444258315	"HC3_OLS; residual_sd=0.1443"	0.768459129226349	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"SIX5"	"partially replicated TF"	"fibroblast_caf_fraction"	35	-0.290797319878337	-0.884914644255603	0.30332000449893	0.344362169943217	"HC3_OLS; residual_sd=0.3381"	0.768459129226349	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"SNAPC4"	"partially replicated TF"	"fibroblast_caf_fraction"	35	0.107610341666203	-0.377512729427754	0.59273341276016	0.666560409833979	"HC3_OLS; residual_sd=0.2296"	0.864069832380803	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"ZBED1"	"partially replicated TF"	"fibroblast_caf_fraction"	35	0.534456966318812	-0.11953180751179	1.18844574014941	0.118738466841912	"HC3_OLS; residual_sd=0.2565"	0.401140645029729	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"ZNF384"	"partially replicated TF"	"fibroblast_caf_fraction"	35	-0.176767259145536	-0.708159414453646	0.354624896162574	0.518921562948449	"HC3_OLS; residual_sd=0.2313"	0.843247539791229	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
