genus	primary_retained	prevalence	mean_abundance	median_abundance	zero_fraction	contamination_risk_category	evidence_source	included_in_primary	included_in_sensitivity	notes
Kocuria	True	0.5161290322580645	24.51793392679691	10.003533785954694	0.4838709677419355	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Bosea	True	0.967741935483871	257.3034034358491	59.81759630300735	0.03225806451612903	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Phenylobacterium	True	0.5806451612903226	9.27727281850679	9.83958513070521	0.41935483870967744	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Xanthomonas	True	0.7419354838709677	41.80178085936202	17.968841709547	0.25806451612903225	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Azospira	True	0.8387096774193549	32.54023735098041	29.446641875565803	0.16129032258064516	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Deinococcus	True	0.3387096774193548	6.140876262811206	0.0	0.6612903225806451	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Hydrogenophaga	True	0.9838709677419355	46.568837575451546	44.94225264507285	0.016129032258064516	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Porphyrobacter	True	0.967741935483871	35.151057306372934	34.17194623247275	0.03225806451612903	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Aromatoleum	True	0.45161290322580644	14.102221424692042	0.0	0.5483870967741935	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Microbacterium	True	0.5	15.874355927479046	2.50217139985603	0.5	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Mitsuaria	True	0.20967741935483872	5.340241189059487	0.0	0.7903225806451613	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Pandoraea	True	0.3548387096774194	4.927040699173118	0.0	0.6451612903225806	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Rhodococcus	True	0.4032258064516129	7.925577255196183	0.0	0.5967741935483871	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Streptococcus	True	0.41935483870967744	100.67567133249287	0.0	0.5806451612903226	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Rhizorhabdus	True	0.967741935483871	90.28140643070684	86.28405871774865	0.03225806451612903	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Citromicrobium	True	0.3548387096774194	4.047413007604329	0.0	0.6451612903225806	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Massilia	True	0.8064516129032258	32.555413332964235	24.86243304832645	0.1935483870967742	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Candida	True	0.3548387096774194	50.625326614060825	0.0	0.6451612903225806	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Ramlibacter	True	1.0	238.23498717562256	232.854708353892	0.0	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Caulobacter	True	1.0	1150.919531441605	907.951805927547	0.0	HIGH_RISK_POTENTIAL_CONTAMINANT	Phase 6B locked environmental/reagent flag list	True	not_in_contaminant_removal_sensitivity_or_filtered	Potential contaminant flag only; not confirmed contamination.
Bacteroides	True	0.6451612903225806	180.57031138265287	16.93397927489405	0.3548387096774194	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Enterococcus	True	0.27419354838709675	7.867787588696463	0.0	0.7258064516129032	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Laribacter	True	0.20967741935483872	3.077217574104167	0.0	0.7903225806451613	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Variovorax	True	1.0	125.68526909749218	110.491030373062	0.0	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Pseudomonas	True	1.0	17549.644134075315	8304.20290042166	0.0	BIOLOGICALLY_PLAUSIBLE_BUT_CONTAMINATION_SENSITIVE	Phase 6B locked contamination-sensitivity list	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	Retained in primary; interpret with sensitivity analyses.
Methylobacterium	True	0.8387096774193549	48.75354630981513	28.686790612297948	0.16129032258064516	BIOLOGICALLY_PLAUSIBLE_BUT_CONTAMINATION_SENSITIVE	Phase 6B locked contamination-sensitivity list	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	Retained in primary; interpret with sensitivity analyses.
Elizabethkingia	True	1.0	364191.42268202413	5062.66774513791	0.0	HIGH_RISK_POTENTIAL_CONTAMINANT	Phase 6B locked environmental/reagent flag list	True	not_in_contaminant_removal_sensitivity_or_filtered	Potential contaminant flag only; not confirmed contamination.
Tessaracoccus	True	1.0	111.41921380994815	80.4284271244358	0.0	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Agrobacterium	True	1.0	566.1082630684498	422.21523610155805	0.0	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Azospirillum	True	0.5161290322580645	9.658387086296573	7.76968265648006	0.4838709677419355	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Clostridium	True	0.22580645161290322	82.45729761749791	0.0	0.7741935483870968	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Ensifer	True	0.3709677419354839	8.768291287189456	0.0	0.6290322580645161	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Roseomonas	True	0.25806451612903225	4.984401719214102	0.0	0.7419354838709677	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Croceicoccus	True	0.8387096774193549	58.33543649579829	61.94318883965215	0.16129032258064516	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
