genus	primary_retained	prevalence	mean_abundance	median_abundance	zero_fraction	contamination_risk_category	evidence_source	included_in_primary	included_in_sensitivity	notes
Stenotrophomonas	True	1.0	133.3669673340565	94.74934962987501	0.0	BIOLOGICALLY_PLAUSIBLE_BUT_CONTAMINATION_SENSITIVE	Phase 6B locked contamination-sensitivity list	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	Retained in primary; interpret with sensitivity analyses.
Corynebacterium	True	0.5161290322580645	13.581327923199634	6.80495298223867	0.4838709677419355	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Leptothrix	True	0.43548387096774194	8.706586059698019	0.0	0.5645161290322581	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Altererythrobacter	True	0.8709677419354839	30.060860951745234	29.446641875565803	0.12903225806451613	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Roseolovirus	True	0.27419354838709675	14.83192889736892	0.0	0.7258064516129032	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Janibacter	True	0.27419354838709675	9.956341837458933	0.0	0.7258064516129032	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Lactobacillus	True	0.3064516129032258	37.34745182630212	0.0	0.6935483870967742	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Acinetobacter	True	1.0	8674.176641427799	6929.339372691995	0.0	BIOLOGICALLY_PLAUSIBLE_BUT_CONTAMINATION_SENSITIVE	Phase 6B locked contamination-sensitivity list	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	Retained in primary; interpret with sensitivity analyses.
Janthinobacterium	True	0.22580645161290322	2.48934184539614	0.0	0.7741935483870968	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Paracoccus	True	0.7419354838709677	52.99109853848752	47.66147314238935	0.25806451612903225	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Delftia	True	1.0	15928.456193417036	613.3646047405659	0.0	HIGH_RISK_POTENTIAL_CONTAMINANT	Phase 6B locked environmental/reagent flag list	True	not_in_contaminant_removal_sensitivity_or_filtered	Potential contaminant flag only; not confirmed contamination.
Sphingorhabdus	True	0.45161290322580644	5.430197974888243	0.0	0.5483870967741935	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Klebsiella	True	1.0	434.3345072891973	315.022920948976	0.0	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Brachybacterium	True	0.27419354838709675	4.559122213546646	0.0	0.7258064516129032	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Herbaspirillum	True	0.43548387096774194	8.79980728574063	0.0	0.5645161290322581	MODERATE_RISK_ENVIRONMENTAL	Phase 6B locked environmental/reagent flag list	True	MICRO_SENS_NO_HIGH_RISK	Environmental risk flag only; not confirmed contamination.
Melaminivora	True	0.7903225806451613	21.029895946541227	21.10528704097205	0.20967741935483872	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
