gene	row_index_1based	missing_count	missing_proportion	nonmissing_count	mean_expression_skipna	median_expression_skipna	detected_sample_count_gt0_skipna	all_zero_among_observed	literal_NA	blank_field	parse_failure	missing_pattern
LINC01412	24580	0	0.0	62	1.4517112734916164	0.0	30	False	0	0	0	complete
LINC01413	24581	0	0.0	62	1.464117244306609	0.0	25	False	0	0	0	complete
LINC01415	24582	0	0.0	62	36.22153783023943	15.88812461647045	62	False	0	0	0	complete
LINC01416	24583	0	0.0	62	7.55631265088303	0.0	24	False	0	0	0	complete
LINC01419	24584	0	0.0	62	6.15363183840326	4.10177068101678	60	False	0	0	0	complete
LINC01422	24585	0	0.0	62	108.71462375236861	98.81025470439835	62	False	0	0	0	complete
LINC01423	24586	0	0.0	62	2.7785580145044255	1.8602764671178	44	False	0	0	0	complete
LINC01424	24587	0	0.0	62	11.121561978506959	9.339812819863656	62	False	0	0	0	complete
LINC01426	24588	0	0.0	62	75.75925468183243	69.23468719342365	62	False	0	0	0	complete
LINC01427	24589	0	0.0	62	2.592538411929623	2.084747651323595	52	False	0	0	0	complete
LINC01428	24590	0	0.0	62	0.8752501080770125	0.0	11	False	0	0	0	complete
LINC01429	24591	0	0.0	62	97.19748666360604	54.3138565931752	61	False	0	0	0	complete
LINC01431	24592	0	0.0	62	7.901612136215418	6.187893391633629	60	False	0	0	0	complete
LINC01433	24593	0	0.0	62	8.166530417992005	5.856251613308904	58	False	0	0	0	complete
LINC01435	24594	0	0.0	62	16.709048504311546	13.024571298757	59	False	0	0	0	complete
LINC01436	24595	0	0.0	62	62.92967236274463	19.20186194072315	60	False	0	0	0	complete
LINC01442	24596	0	0.0	62	0.7540654108967993	0.0	23	False	0	0	0	complete
LINC01443	24597	0	0.0	62	3.22346090437635	0.0	22	False	0	0	0	complete
LINC01444	24598	0	0.0	62	4.064598261445418	0.0	17	False	0	0	0	complete
LINC01446	24599	0	0.0	62	5.377332632352219	0.0	24	False	0	0	0	complete
LINC01447	24600	0	0.0	62	1.933945813694293	1.047555995202845	44	False	0	0	0	complete
LINC01449	24601	0	0.0	62	18.065816925028233	9.795104177761266	59	False	0	0	0	complete
LINC01450	24602	0	0.0	62	22.295206935827814	13.84138473471125	61	False	0	0	0	complete
LINC01451	24603	0	0.0	62	60.90884633917974	33.20980693069515	62	False	0	0	0	complete
LINC01460	24604	0	0.0	62	5.021295531784685	3.475054618563145	53	False	0	0	0	complete
LINC01465	24605	0	0.0	62	198.83674677234177	180.44177382407298	62	False	0	0	0	complete
LINC01470	24606	0	0.0	62	1.4367787159227234	0.0	23	False	0	0	0	complete
LINC01471	24607	0	0.0	62	1.648175970865998	0.919121971238888	39	False	0	0	0	complete
LINC01473	24608	0	0.0	62	148.65147674512988	144.05367053455	62	False	0	0	0	complete
LINC01474	24609	0	0.0	62	21.22723866081222	22.6895709780229	61	False	0	0	0	complete
LINC01475	24610	0	0.0	62	9.186981693044368	7.131668340979285	53	False	0	0	0	complete
LINC01476	24611	0	0.0	62	2.5979948060954228	1.8223518235456848	52	False	0	0	0	complete
LINC01478	24612	0	0.0	62	0.8484313225065229	0.0	21	False	0	0	0	complete
LINC01479	24613	0	0.0	62	4.335348493961995	2.5212745033978097	48	False	0	0	0	complete
LINC01480	24614	0	0.0	62	94.37544470944573	77.25921019578195	62	False	0	0	0	complete
LINC01481	24615	0	0.0	62	72.62596109235582	65.18564644593229	62	False	0	0	0	complete
LINC01482	24616	0	0.0	62	30.215306993413865	25.98590153118395	62	False	0	0	0	complete
LINC01483	24617	0	0.0	62	2.6680459545089428	1.888924702131975	53	False	0	0	0	complete
LINC01484	24618	0	0.0	62	26.5354460076493	22.277581975577903	61	False	0	0	0	complete
LINC01485	24619	0	0.0	62	6.3027813748079495	2.007931379852085	43	False	0	0	0	complete
LINC01489	24620	0	0.0	62	0.9343735830330234	0.0	26	False	0	0	0	complete
LINC01491	24621	0	0.0	62	1.0400923667702782	0.0	17	False	0	0	0	complete
LINC01494	24622	0	0.0	62	8.063617063544624	4.12804057215153	56	False	0	0	0	complete
LINC01498	24623	0	0.0	62	1.3351707530735815	0.888520173369745	38	False	0	0	0	complete
LINC01500	24624	0	0.0	62	7.034797332113859	5.148811673972435	56	False	0	0	0	complete
LINC01501	24625	0	0.0	62	0.47868963679327137	0.0	10	False	0	0	0	complete
LINC01503	24626	0	0.0	62	246.10138548190733	128.756508884341	62	False	0	0	0	complete
