taxon	host_feature	host_feature_collection	coefficient	p_value	bh_q_value	supported_nominal	TRANSFORMATION_SENSITIVE_MECHANISM	composition_sensitive	sample_sensitive	evidence_category	criteria
Burkholderia	GLI2	DoRothEA_VIPER	-0.028096345854465	0.432856948837299	0.577142598449732	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.4329; primary_q=0.5771; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Burkholderia	GRHL2	DoRothEA_VIPER	-0.727646460365765	4.22006597891007e-05	0.00446653248967045	TRUE	TRUE	FALSE	FALSE	TRANSFORMATION_SENSITIVE_MECHANISM	primary_p=4.22e-05; primary_q=0.004467; transformation_sensitive=TRUE; composition_sensitive=FALSE; sample_sensitive=FALSE
Burkholderia	HALLMARK_ADIPOGENESIS	MSigDB_Hallmark	0.00131318091119634	0.599536138940514	0.697135045279668	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.5995; primary_q=0.6971; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Burkholderia	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	0.0345126208962802	0.000943097915869478	0.0194323737107338	TRUE	TRUE	FALSE	FALSE	TRANSFORMATION_SENSITIVE_MECHANISM	primary_p=0.0009431; primary_q=0.01943; transformation_sensitive=TRUE; composition_sensitive=FALSE; sample_sensitive=FALSE
Burkholderia	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	0.00488711975100422	0.119231114992257	0.205570887917684	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.1192; primary_q=0.2056; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Burkholderia	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	0.0139683256079483	0.0223548403658843	0.0745161345529477	TRUE	TRUE	TRUE	FALSE	EXPLORATORY_HOST_MECHANISM	primary_p=0.02235; primary_q=0.07452; transformation_sensitive=TRUE; composition_sensitive=TRUE; sample_sensitive=FALSE
Burkholderia	HALLMARK_APICAL_JUNCTION	MSigDB_Hallmark	0.000728765302157763	0.819483730812768	0.890743185666052	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.8195; primary_q=0.8907; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Burkholderia	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	0.00209745616992396	0.646972003171681	0.735195458149638	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.647; primary_q=0.7352; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Burkholderia	HALLMARK_APOPTOSIS	MSigDB_Hallmark	0.00418677470522235	0.0347551848779001	0.087069870331761	TRUE	TRUE	TRUE	FALSE	EXPLORATORY_HOST_MECHANISM	primary_p=0.03476; primary_q=0.08707; transformation_sensitive=TRUE; composition_sensitive=TRUE; sample_sensitive=FALSE
Burkholderia	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	0.0166231828172484	0.00603965909068745	0.0376708898391527	TRUE	TRUE	FALSE	FALSE	TRANSFORMATION_SENSITIVE_MECHANISM	primary_p=0.00604; primary_q=0.03767; transformation_sensitive=TRUE; composition_sensitive=FALSE; sample_sensitive=FALSE
Burkholderia	HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB_Hallmark	-3.33109703857634e-05	0.992811886653451	0.992811886653451	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.9928; primary_q=0.9928; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Burkholderia	HALLMARK_COAGULATION	MSigDB_Hallmark	0.0108954757831557	0.0835863294364977	0.160742941224034	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.08359; primary_q=0.1607; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Burkholderia	HALLMARK_COMPLEMENT	MSigDB_Hallmark	0.0162041627715389	0.00240208875362918	0.0235643448701816	TRUE	TRUE	TRUE	FALSE	TRANSFORMATION_SENSITIVE_MECHANISM	primary_p=0.002402; primary_q=0.02356; transformation_sensitive=TRUE; composition_sensitive=TRUE; sample_sensitive=FALSE
Burkholderia	HALLMARK_DNA_REPAIR	MSigDB_Hallmark	-0.0048548879219612	0.102093852702869	0.189062690190498	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.1021; primary_q=0.1891; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Burkholderia	HALLMARK_E2F_TARGETS	MSigDB_Hallmark	-0.0167784969881601	0.0475140336051359	0.0989875700106997	TRUE	TRUE	TRUE	FALSE	EXPLORATORY_HOST_MECHANISM	primary_p=0.04751; primary_q=0.09899; transformation_sensitive=TRUE; composition_sensitive=TRUE; sample_sensitive=FALSE
Burkholderia	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	MSigDB_Hallmark	0.00762675323561134	0.229234349317724	0.318381040719062	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.2292; primary_q=0.3184; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Burkholderia	HALLMARK_ESTROGEN_RESPONSE_EARLY	MSigDB_Hallmark	-0.00369417265676628	0.214967729592975	0.307096756561392	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.215; primary_q=0.3071; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Burkholderia	HALLMARK_ESTROGEN_RESPONSE_LATE	MSigDB_Hallmark	-0.00634124311840176	0.0620690905290367	0.124138181058073	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.06207; primary_q=0.1241; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Burkholderia	HALLMARK_FATTY_ACID_METABOLISM	MSigDB_Hallmark	0.00413433782466874	0.239715662472304	0.323940084422033	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.2397; primary_q=0.3239; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Burkholderia	HALLMARK_G2M_CHECKPOINT	MSigDB_Hallmark	-0.015772536859772	0.0348279481327044	0.087069870331761	TRUE	TRUE	TRUE	FALSE	EXPLORATORY_HOST_MECHANISM	primary_p=0.03483; primary_q=0.08707; transformation_sensitive=TRUE; composition_sensitive=TRUE; sample_sensitive=FALSE
Burkholderia	HALLMARK_GLYCOLYSIS	MSigDB_Hallmark	-0.00883961595003711	0.00753417796783054	0.0376708898391527	TRUE	TRUE	TRUE	FALSE	TRANSFORMATION_SENSITIVE_MECHANISM	primary_p=0.007534; primary_q=0.03767; transformation_sensitive=TRUE; composition_sensitive=TRUE; sample_sensitive=FALSE
Burkholderia	HALLMARK_HEDGEHOG_SIGNALING	MSigDB_Hallmark	0.0125032596955835	0.0265350244473627	0.0829219513980084	TRUE	TRUE	TRUE	FALSE	EXPLORATORY_HOST_MECHANISM	primary_p=0.02654; primary_q=0.08292; transformation_sensitive=TRUE; composition_sensitive=TRUE; sample_sensitive=FALSE
Burkholderia	HALLMARK_HEME_METABOLISM	MSigDB_Hallmark	0.00486512736399998	0.0118471193164814	0.0493629971520058	TRUE	TRUE	TRUE	FALSE	TRANSFORMATION_SENSITIVE_MECHANISM	primary_p=0.01185; primary_q=0.04936; transformation_sensitive=TRUE; composition_sensitive=TRUE; sample_sensitive=FALSE
