dataset_id	feature_family	feature_name	model	effect_size_beta	std_error_HC3	ci95_low	ci95_high	p_value	spearman_rho	spearman_p	n	locked_direction_from_discovery	direction_consistent	bh_q_value	ci_excludes_zero
TCGA_PAAD	pathway	HALLMARK_PROTEIN_SECRETION	feature_score ~ moffitt50_contrast	-0.0013154565245280894	0.000638727119164151	-0.0025673386740388488	-6.357437501732996e-05	0.03944666128148084	-0.07847082066836965	0.297800448848158	178	-1	True	0.03944666128148084	True
TCGA_PAAD	pathway	HALLMARK_SPERMATOGENESIS	feature_score ~ moffitt50_contrast	0.008159674940743602	0.0019276895497226827	0.00438147284991291	0.011937877031574293	2.3071954074827347e-05	0.31806764127928816	1.514627182235391e-05	178	-1	False	4.6143908149654695e-05	True
TCGA_PAAD	tf	BHLHE40	feature_score ~ moffitt50_contrast	0.17242645301762077	0.07721958556193662	0.021078846415115843	0.32377405962012573	0.025553113460679094	0.11952498539783325	0.11203114825864498	178	-1	False	0.06683121982023764	True
TCGA_PAAD	tf	CTCFL	feature_score ~ moffitt50_contrast	-0.008409380489633354	0.06379895180386931	-0.13345302827662392	0.11663426729735721	0.8951340727025078	0.02383519055832638	0.7521500841085917	178	1	False	0.9222593476328868	False
TCGA_PAAD	tf	E2F6	feature_score ~ moffitt50_contrast	0.0776053249948336	0.07489869130725843	-0.06919341245657616	0.22440406244624334	0.3001381102877241	0.06692849509298729	0.3747331920617236	178	-1	False	0.5567521654774985	False
TCGA_PAAD	tf	ELF1	feature_score ~ moffitt50_contrast	-0.2219777663517958	0.08758462522494592	-0.39364047739212815	-0.050315055311463464	0.0112627988027673	-0.2603058316106855	0.00044956249283349686	178	1	False	0.038293515929408814	True
TCGA_PAAD	tf	FOXK2	feature_score ~ moffitt50_contrast	0.28772373094089465	0.10972347198367378	0.0726696775942044	0.5027777842875849	0.008734815943995698	0.22945468724486012	0.002063394818996306	178	1	True	0.038293515929408814	True
TCGA_PAAD	tf	GFI1B	feature_score ~ moffitt50_contrast	-0.3488736669794316	0.08476911686865012	-0.5150180830432526	-0.18272925091561062	3.8621520922411233e-05	-0.33897156415302165	3.6858770987440624e-06	178	1	False	0.00043771057045399395	True
TCGA_PAAD	tf	GRHL2	feature_score ~ moffitt50_contrast	-0.06425580775714379	0.08248660231197474	-0.22592657749569264	0.09741496198140506	0.4359886804190165	-0.033484444037794346	0.6572484482684893	178	1	False	0.6738006879202982	False
TCGA_PAAD	tf	IRF3	feature_score ~ moffitt50_contrast	0.05879812138245455	0.08747842079899826	-0.11265643280802162	0.23025267557293072	0.5014918404614372	0.04092117596116303	0.5875860808808206	178	1	True	0.7254060448403314	False
