module_name	expected_genes	TCGA_observed_genes	TCGA_coverage	GSE71729_observed_genes	GSE71729_coverage	GSE62452_observed_genes	GSE62452_coverage	TCGA_beta	TCGA_p	GSE71729_beta	GSE71729_p	GSE62452_beta	GSE62452_p	cohorts_supported_without_filter	cohorts_supported_with_filter	locked_category	reviewer_category	reviewer_notes
MEblack	270	258	0.956	65	0.241	76	0.281	0.0091	4.131e-07	0.0154	1.336e-08	0.0067	0.001752	3	1	EXTERNALLY_REPLICATED_HOST_FEATURE	PARTIALLY_REPLICATED_HOST_FEATURE	Replicated in TCGA_PAAD; GSE71729 and GSE62452 failed 80% coverage.
MEblue	1691	1607	0.950	488	0.289	601	0.355	0.0115	9.579e-10	0.0229	3.38e-08	0.0159	1.277e-07	3	1	EXTERNALLY_REPLICATED_HOST_FEATURE	PARTIALLY_REPLICATED_HOST_FEATURE	Replicated in TCGA_PAAD; GSE71729 and GSE62452 failed 80% coverage.
MEgreen	515	506	0.983	173	0.336	205	0.398	-0.0247	5.716e-21	-0.0345	5.065e-21	-0.0289	1.273e-30	3	1	EXTERNALLY_REPLICATED_HOST_FEATURE	PARTIALLY_REPLICATED_HOST_FEATURE	Replicated in TCGA_PAAD; GSE71729 and GSE62452 failed 80% coverage.
MEred	354	342	0.966	138	0.390	148	0.418	0.0002	0.9382	-0.0153	0.0003908	-0.0088	0.04845	2	0	EXTERNALLY_REPLICATED_HOST_FEATURE	NOT_REPLICATED	Fails replication in TCGA_PAAD; GSE71729 and GSE62452 failed 80% coverage.
MEgreenyellow	166	156	0.940	50	0.301	62	0.373	0.0034	0.1145	-0.0026	0.4038	0.0046	0.02037	1	0	PARTIALLY_REPLICATED_HOST_FEATURE	NOT_REPLICATED	Fails replication in TCGA_PAAD; GSE71729 and GSE62452 failed 80% coverage.
MEpurple	200	195	0.975	32	0.160	39	0.195	0.0097	0.2025	-0.0071	0.3132	-0.0096	0.1213	0	0	PARTIALLY_REPLICATED_HOST_FEATURE	NOT_REPLICATED	Fails replication in TCGA_PAAD; GSE71729 and GSE62452 failed 80% coverage.
MEtan	103	103	1.000	66	0.641	67	0.650	-0.0112	3.635e-05	-0.0033	0.1544	0.0001	0.9468	1	1	PARTIALLY_REPLICATED_HOST_FEATURE	PARTIALLY_REPLICATED_HOST_FEATURE	Replicated in TCGA_PAAD; GSE71729 and GSE62452 failed 80% coverage.
