model_id	covariates	available_patients	correlation_warning	maximum_VIF	condition_number	model_permitted	reason	analysis_role	notes
Model_0	host_transcriptional_score	62	none	1	1.00816340075553	YES	Meets prespecified completeness, VIF, condition-number, and effective-df criteria.	primary	effective_df=60; criteria: complete_cases>=50, effective_df>=50, max_VIF<5, condition_number<30, no severe pairwise collinearity; Model 0 remains primary.
Model_3P	host_transcriptional_score + inferred_tumor_purity	62	none	1.40239961084487	1.81857929749046	YES	Meets prespecified completeness, VIF, condition-number, and effective-df criteria.	sensitivity	effective_df=59; criteria: complete_cases>=50, effective_df>=50, max_VIF<5, condition_number<30, no severe pairwise collinearity; Model 0 remains primary.
Model_3I	host_transcriptional_score + immune_score	62	none	1.24171758403043	1.60597164889096	YES	Meets prespecified completeness, VIF, condition-number, and effective-df criteria.	sensitivity	effective_df=59; criteria: complete_cases>=50, effective_df>=50, max_VIF<5, condition_number<30, no severe pairwise collinearity; Model 0 remains primary.
Model_3S	host_transcriptional_score + stromal_score	62	none	1.45802422844339	1.88426161327603	YES	Meets prespecified completeness, VIF, condition-number, and effective-df criteria.	sensitivity	effective_df=59; criteria: complete_cases>=50, effective_df>=50, max_VIF<5, condition_number<30, no severe pairwise collinearity; Model 0 remains primary.
Model_3ALL_TME	host_transcriptional_score + inferred_tumor_purity + immune_score + stromal_score + estimate_score	62	SEVERE_COLLINEARITY	Inf	1035530833189620	NO	maximum_VIF_ge_5; condition_number_ge_30; severe_pairwise_correlation_ge_0.9; combined_TME_model_blocked_by_correlation_warning	not_prespecified_combined_screen	effective_df=56; criteria: complete_cases>=50, effective_df>=50, max_VIF<5, condition_number<30, no severe pairwise collinearity; Model 0 remains primary.
