analysis_id	candidate_K	cluster_id	aligned_public_label	overlap_n
STAB_HVG_OUTLIER_EXCL	6	4	UNMAPPED_2	0
STAB_HVG_OUTLIER_EXCL	6	5	Basal	13
STAB_HVG_OUTLIER_EXCL	6	6	UNMAPPED_1	0
STAB_CSY_FEAT_RESAMP	2	1	Hybrid	23
STAB_CSY_FEAT_RESAMP	2	2	Basal	17
STAB_CSY_FEAT_RESAMP	3	1	Classical	22
STAB_CSY_FEAT_RESAMP	3	2	Hybrid	23
STAB_CSY_FEAT_RESAMP	3	3	Basal	17
STAB_CSY_FEAT_RESAMP	4	1	Classical	18
STAB_CSY_FEAT_RESAMP	4	2	Hybrid	23
STAB_CSY_FEAT_RESAMP	4	3	UNMAPPED_1	0
STAB_CSY_FEAT_RESAMP	4	4	Basal	17
STAB_CSY_FEAT_RESAMP	5	1	Classical	18
STAB_CSY_FEAT_RESAMP	5	2	Hybrid	14
STAB_CSY_FEAT_RESAMP	5	3	UNMAPPED_1	0
STAB_CSY_FEAT_RESAMP	5	4	UNMAPPED_2	0
STAB_CSY_FEAT_RESAMP	5	5	Basal	17
STAB_CSY_FEAT_RESAMP	6	1	Classical	18
STAB_CSY_FEAT_RESAMP	6	2	Hybrid	14
STAB_CSY_FEAT_RESAMP	6	3	UNMAPPED_2	0
STAB_CSY_FEAT_RESAMP	6	4	UNMAPPED_3	0
STAB_CSY_FEAT_RESAMP	6	5	Basal	17
STAB_CSY_FEAT_RESAMP	6	6	UNMAPPED_1	0
STAB_CSY_IMPUTED	2	1	Hybrid	23
STAB_CSY_IMPUTED	2	2	Basal	17
STAB_CSY_IMPUTED	3	1	Classical	22
STAB_CSY_IMPUTED	3	2	Hybrid	23
STAB_CSY_IMPUTED	3	3	Basal	17
STAB_CSY_IMPUTED	4	1	Classical	18
STAB_CSY_IMPUTED	4	2	Hybrid	23
STAB_CSY_IMPUTED	4	3	UNMAPPED_1	0
STAB_CSY_IMPUTED	4	4	Basal	17
STAB_CSY_IMPUTED	5	1	Classical	18
STAB_CSY_IMPUTED	5	2	Hybrid	14
STAB_CSY_IMPUTED	5	3	UNMAPPED_1	0
STAB_CSY_IMPUTED	5	4	UNMAPPED_2	0
STAB_CSY_IMPUTED	5	5	Basal	17
STAB_CSY_IMPUTED	6	1	Classical	18
STAB_CSY_IMPUTED	6	2	Hybrid	14
STAB_CSY_IMPUTED	6	3	UNMAPPED_2	0
STAB_CSY_IMPUTED	6	4	UNMAPPED_3	0
STAB_CSY_IMPUTED	6	5	Basal	17
STAB_CSY_IMPUTED	6	6	UNMAPPED_1	0
STAB_HVG_VAR_FILTER	2	1	Classical	18
STAB_HVG_VAR_FILTER	2	2	Hybrid	16
STAB_HVG_VAR_FILTER	3	1	Classical	18
STAB_HVG_VAR_FILTER	3	2	Hybrid	16
STAB_HVG_VAR_FILTER	3	3	Basal	13
STAB_HVG_VAR_FILTER	4	1	Classical	17
STAB_HVG_VAR_FILTER	4	2	Hybrid	16
STAB_HVG_VAR_FILTER	4	3	UNMAPPED_1	0
STAB_HVG_VAR_FILTER	4	4	Basal	13
STAB_HVG_VAR_FILTER	5	1	Classical	9
STAB_HVG_VAR_FILTER	5	2	UNMAPPED_2	0
STAB_HVG_VAR_FILTER	5	3	Hybrid	16
STAB_HVG_VAR_FILTER	5	4	UNMAPPED_1	0
STAB_HVG_VAR_FILTER	5	5	Basal	13
STAB_HVG_VAR_FILTER	6	1	Classical	9
STAB_HVG_VAR_FILTER	6	2	UNMAPPED_3	0
STAB_HVG_VAR_FILTER	6	3	Hybrid	16
STAB_HVG_VAR_FILTER	6	4	UNMAPPED_1	0
STAB_HVG_VAR_FILTER	6	5	Basal	13
STAB_HVG_VAR_FILTER	6	6	UNMAPPED_2	0
