sensitivity_analysis	n_samples	spearman_rank_stability	pearson_score_correlation	p_value	notes
AXIS_MOFFITT49_NO_LEMD1_SENSITIVITY	62	0.9989423585404548	0.9996570693535511	5.829909668124467e-82	locked sensitivity comparison
AXIS_OUTLIER_EXCL	58	0.9995693500261468	0.9998303657409419	1.6135894637872607e-87	locked sensitivity comparison
AXIS_RAW_COUNTS	62	0.8706151947823021	0.8672902884429277	3.8463705594955414e-20	locked sensitivity comparison
AXIS_UNSUP_CENTROID	62	0.08665105386416862	0.14485750808031658	0.5030700711836363	locked sensitivity comparison
AXIS_LEAVE_ONE_OUT	62	0.9037042633023596	0.9416660976832779	8.905658527314448e-24	locked sensitivity comparison
