feature_name	feature_layer	single_cell_coverage	eligibility	primary_cell_source	malignant_cell_association	composition_sensitivity	negative_control_support	final_category	classification_reason	independent_review_status	notes
MEblack	WGCNA_module	0.251851851851852	INELIGIBLE		NOT_SUPPORTED_AT_Q0.10	NOT_COMPOSITION_EXPLAINED_AT_Q0.10	NOT_APPLICABLE_INELIGIBLE_FEATURE	INSUFFICIENT_SINGLE_CELL_DATA	Coverage 0.2519 is below locked 0.80 threshold; excluded from formal scoring/inference.	PASS	Feature classified as INSUFFICIENT_SINGLE_CELL_DATA based on locked rules.
MEblue	WGCNA_module	0.344175044352454	INELIGIBLE		NOT_SUPPORTED_AT_Q0.10	NOT_COMPOSITION_EXPLAINED_AT_Q0.10	NOT_APPLICABLE_INELIGIBLE_FEATURE	INSUFFICIENT_SINGLE_CELL_DATA	Coverage 0.3442 is below locked 0.80 threshold; excluded from formal scoring/inference.	PASS	Feature classified as INSUFFICIENT_SINGLE_CELL_DATA based on locked rules.
MEgreen	WGCNA_module	0.386407766990291	INELIGIBLE		NOT_SUPPORTED_AT_Q0.10	NOT_COMPOSITION_EXPLAINED_AT_Q0.10	NOT_APPLICABLE_INELIGIBLE_FEATURE	INSUFFICIENT_SINGLE_CELL_DATA	Coverage 0.3864 is below locked 0.80 threshold; excluded from formal scoring/inference.	PASS	Feature classified as INSUFFICIENT_SINGLE_CELL_DATA based on locked rules.
MEgreenyellow	WGCNA_module	0.319277108433735	INELIGIBLE		NOT_SUPPORTED_AT_Q0.10	NOT_COMPOSITION_EXPLAINED_AT_Q0.10	NOT_APPLICABLE_INELIGIBLE_FEATURE	INSUFFICIENT_SINGLE_CELL_DATA	Coverage 0.3193 is below locked 0.80 threshold; excluded from formal scoring/inference.	PASS	Feature classified as INSUFFICIENT_SINGLE_CELL_DATA based on locked rules.
MEtan	WGCNA_module	0.485436893203884	INELIGIBLE		NOT_SUPPORTED_AT_Q0.10	NOT_COMPOSITION_EXPLAINED_AT_Q0.10	NOT_APPLICABLE_INELIGIBLE_FEATURE	INSUFFICIENT_SINGLE_CELL_DATA	Coverage 0.4854 is below locked 0.80 threshold; excluded from formal scoring/inference.	PASS	Feature classified as INSUFFICIENT_SINGLE_CELL_DATA based on locked rules.
MNT	TF_regulon	0.964285714285714	ELIGIBLE	B_cell	NOT_SUPPORTED_AT_Q0.10	malignant_epithelial_fraction	NEGATIVE_CONTROL_SENSITIVE	CELL_COMPOSITION_EXPLAINED	Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls.	PASS	Feature classified as CELL_COMPOSITION_EXPLAINED based on locked rules.
MXI1	TF_regulon	0.922077922077922	ELIGIBLE	T_cell	NOT_SUPPORTED_AT_Q0.10	lymphoid_fraction	NEGATIVE_CONTROL_SENSITIVE	CELL_COMPOSITION_EXPLAINED	Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls.	PASS	Feature classified as CELL_COMPOSITION_EXPLAINED based on locked rules.
OTX2	TF_regulon	0.958333333333333	ELIGIBLE	fibroblast_caf	NOT_SUPPORTED_AT_Q0.10	endothelial_fraction;malignant_epithelial_fraction	NEGATIVE_CONTROL_SENSITIVE	CELL_COMPOSITION_EXPLAINED	Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls.	PASS	Feature classified as CELL_COMPOSITION_EXPLAINED based on locked rules.
SIX5	TF_regulon	0.96	ELIGIBLE	nonmalignant_epithelial	NOT_SUPPORTED_AT_Q0.10	endothelial_fraction;malignant_epithelial_fraction	NEGATIVE_CONTROL_SENSITIVE	CELL_COMPOSITION_EXPLAINED	Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls.	PASS	Feature classified as CELL_COMPOSITION_EXPLAINED based on locked rules.
SNAI2	TF_regulon	0.939393939393939	ELIGIBLE	B_cell	NOT_SUPPORTED_AT_Q0.10	malignant_epithelial_fraction	NEGATIVE_CONTROL_SENSITIVE	CELL_COMPOSITION_EXPLAINED	Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls.	PASS	Feature classified as CELL_COMPOSITION_EXPLAINED based on locked rules.
SNAPC4	TF_regulon	1.0	ELIGIBLE	endothelial	NOT_SUPPORTED_AT_Q0.10	lymphoid_fraction	NEGATIVE_CONTROL_SENSITIVE	CELL_COMPOSITION_EXPLAINED	Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls.	PASS	Feature classified as CELL_COMPOSITION_EXPLAINED based on locked rules.
TFAP4	TF_regulon	0.975	ELIGIBLE	malignant_epithelial	NOT_SUPPORTED_AT_Q0.10	myeloid_fraction;lymphoid_fraction	NEGATIVE_CONTROL_SENSITIVE	CELL_COMPOSITION_EXPLAINED	Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls.	PASS	Feature classified as CELL_COMPOSITION_EXPLAINED based on locked rules.
TP63	TF_regulon	1.0	ELIGIBLE	malignant_epithelial	NOT_SUPPORTED_AT_Q0.10	malignant_epithelial_fraction;myeloid_fraction	NEGATIVE_CONTROL_SENSITIVE	CELL_COMPOSITION_EXPLAINED	Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls.	PASS	Feature classified as CELL_COMPOSITION_EXPLAINED based on locked rules.
ZBED1	TF_regulon	1.0	ELIGIBLE	B_cell	NOT_SUPPORTED_AT_Q0.10	endothelial_fraction;malignant_epithelial_fraction;lymphoid_fraction	NEGATIVE_CONTROL_SENSITIVE	CELL_COMPOSITION_EXPLAINED	Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls.	PASS	Feature classified as CELL_COMPOSITION_EXPLAINED based on locked rules.
ZBTB7A	TF_regulon	0.955555555555556	ELIGIBLE	B_cell	NOT_SUPPORTED_AT_Q0.10	NOT_COMPOSITION_EXPLAINED_AT_Q0.10	NEGATIVE_CONTROL_SENSITIVE	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls.	PASS	Feature classified as STROMAL_OR_IMMUNE_SOURCE_SUPPORTED based on locked rules.
ZNF24	TF_regulon	1.0	ELIGIBLE	B_cell	NOT_SUPPORTED_AT_Q0.10	endothelial_fraction;malignant_epithelial_fraction	NEGATIVE_CONTROL_SENSITIVE	CELL_COMPOSITION_EXPLAINED	Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls.	PASS	Feature classified as CELL_COMPOSITION_EXPLAINED based on locked rules.
ZNF384	TF_regulon	0.954545454545455	ELIGIBLE	endothelial	NOT_SUPPORTED_AT_Q0.10	NOT_COMPOSITION_EXPLAINED_AT_Q0.10	NEGATIVE_CONTROL_SENSITIVE	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls.	PASS	Feature classified as STROMAL_OR_IMMUNE_SOURCE_SUPPORTED based on locked rules.
ZNF740	TF_regulon	0.947368421052632	ELIGIBLE	malignant_epithelial	NOT_SUPPORTED_AT_Q0.10	NOT_COMPOSITION_EXPLAINED_AT_Q0.10	NEGATIVE_CONTROL_SENSITIVE	PARTIAL_CELLULAR_SUPPORT	Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls.	PASS	Feature classified as PARTIAL_CELLULAR_SUPPORT based on locked rules.
