sample_id	patient_id	cell_type	tumor_control_status	CTCFL	IRF3	JUNB	KLF13	KLF9	MNT	MXI1	SNAI2	TFAP4	TP63	ZBTB7A	ZNF24	BHLHE40	E2F6	ELF1	GRHL2	KLF1	MBD1	MBD2	OTX2	SIX5	SNAPC4	ZBED1	ZNF384	ZNF740	dataset_id
"N10|endothelial"	"N10"	"endothelial"	"CONTROL_PANCREAS"	3.48681433806069	4.1453703725874	6.53456140814908	-4.32086606029791	6.94959471599021	-5.80557774678492	-7.84140158105668	-4.37347315385114	3.2309956540183	0.717709805859047	-5.33756982768134	-0.6236001107915	-7.24326819229832	-4.83261974596838	7.3511286830913	4.54825649009445	5.39349279400424	-4.34404421317642	-0.557297292485035	1.99173024487765	2.68832913874241	2.59697653784301	4.254329773137	7.48618920558266	4.43588726805509	"PENG_CRA001160"
"N10|fibroblast_caf"	"N10"	"fibroblast_caf"	"CONTROL_PANCREAS"	2.90770413568189	3.27532365742647	6.18480523902913	-4.74755303328287	5.57761416511486	-4.70884454258154	-7.50496226312568	-4.11034840540408	2.28645085934982	0.692319121787499	-4.96155590986725	-0.20645180536269	-5.49161857886529	-3.34455735447939	5.91363197023215	3.23896731905794	4.32475866943331	-4.38650945804493	-1.05380469222789	2.01198777076276	2.69148484045588	2.01733395410848	3.69437462133504	6.82410523689922	3.77083569202936	"PENG_CRA001160"
"N10|myeloid"	"N10"	"myeloid"	"CONTROL_PANCREAS"	1.43287745826736	4.20936301074942	5.42138536683904	-3.55510948046566	3.61431448562108	-4.4551823973328	-7.10791496065593	-3.43758503367934	1.47645018361715	0.200412392082123	-3.0081684992365	-0.945371202562553	-5.50018729664498	-4.11832525989707	6.58388702931484	3.28055339262863	4.26036460343576	-2.89825872627741	-0.784999619869299	1.66140374103254	2.50942150077862	2.51151053502987	3.63060253393944	6.24324624134559	3.83077270937709	"PENG_CRA001160"
"N10|nonmalignant_epithelial"	"N10"	"nonmalignant_epithelial"	"CONTROL_PANCREAS"	2.89242768265028	4.32759381685479	6.48185904141989	-4.05988430095333	5.88341039586477	-5.2869442542203	-8.27525214000759	-4.97732089660492	3.34378778305128	0.350173268902435	-5.61315332496921	-1.07282734215691	-5.92238147403892	-5.15936180909995	6.62873002099064	5.51529676373289	4.09142877373166	-4.64629825773728	-1.18714479378585	1.36638552952393	3.40593691461221	2.8133592346998	4.17371296267447	7.4041846067514	4.80600229219756	"PENG_CRA001160"
"N11|endothelial"	"N11"	"endothelial"	"CONTROL_PANCREAS"	3.71049953811874	4.55597899194815	6.64805914127348	-4.80019995203401	7.60312023723373	-5.8489592936355	-8.28341872628701	-5.0635216842884	3.49829946819998	0.235670753444741	-6.71759586646013	-0.870696264399428	-6.17193759153839	-5.56874494732371	7.49106732676479	4.69001142489119	5.39419847743988	-4.73289800728588	-0.025995605815645	1.90763877034244	3.41487672940741	2.94597015256409	4.64292308634262	7.75009322405645	4.9281783641585	"PENG_CRA001160"
"N11|fibroblast_caf"	"N11"	"fibroblast_caf"	"CONTROL_PANCREAS"	3.68249107328394	3.49402454761486	6.41420675740231	-4.67972213591604	6.34173503757888	-4.61494562335852	-7.32179944194033	-4.04591044847834	2.6953336780673	0.285864961988506	-5.13642925128401	-0.383863161490503	-5.04873861343052	-4.32588644612144	6.63133058241238	2.81850077305852	4.35097030395449	-3.63085775242636	-0.183034171852057	2.86124046524785	3.25329589937356	2.06147241842621	3.61943949659184	6.75938158121216	4.46360798068972	"PENG_CRA001160"
"N11|myeloid"	"N11"	"myeloid"	"CONTROL_PANCREAS"	2.23124244941024	4.09595625410951	6.386987043168	-5.0418994386125	5.44052807311218	-5.01146459689458	-7.40064880585742	-3.8050592127727	2.23549368109349	-0.847186892791783	-4.28640689170388	-1.37837673919643	-5.64334209634181	-5.22050504857804	6.56274310628441	3.38330051281927	5.12833874555026	-4.41064075916938	0.0640442205447375	1.7960146207231	2.79588703869919	2.43004845288639	4.50354261128857	6.94753597253278	4.23134761248383	"PENG_CRA001160"
"N11|nonmalignant_epithelial"	"N11"	"nonmalignant_epithelial"	"CONTROL_PANCREAS"	2.88992410078241	4.29360693611528	6.22734515432439	-3.60537126084512	6.02862732554241	-4.92312191365408	-8.24905782647163	-4.69546972357683	3.29343040569738	0.0980908947970064	-5.77112910103846	-0.914050354242882	-5.73118553918818	-5.12558823836398	6.41612505684913	5.60386164468005	4.3627856681752	-4.4985175531317	-1.25719904730914	1.52242481085325	3.75159961260077	2.88098900062974	3.98410806714346	7.58559509845338	4.90022228283373	"PENG_CRA001160"
"N1|endothelial"	"N1"	"endothelial"	"CONTROL_PANCREAS"	3.56552145642719	4.7122101318658	6.97121047562175	-4.74405632254819	7.17592413355251	-6.32672860994671	-8.41623642263273	-5.35728546872193	3.64936313977484	0.83313036306608	-6.14068419088389	-1.06379875853731	-7.18982219180881	-5.82071617088522	7.75383922968481	4.663688426795	5.03271011927886	-4.76600160505218	0.0221971423203399	2.00565891748973	2.81415137784731	2.99356737048362	4.50683000931679	7.65110824863059	5.04794821555378	"PENG_CRA001160"
"N1|fibroblast_caf"	"N1"	"fibroblast_caf"	"CONTROL_PANCREAS"	3.71320126761236	3.92862595308455	7.45948658518454	-5.04770606506013	6.63913285261885	-5.80926281519578	-8.2189389900066	-4.81962673074445	3.31533562931132	0.345386774488226	-5.52778948989747	-0.793025200020424	-5.92162445047686	-4.94420456850923	6.84621670096327	3.82616679923393	4.7752969746984	-4.18546408728266	-0.46365898129946	2.29441293339847	3.10840434572997	2.46807658418776	4.17721164814548	7.31599881420077	4.70064063424338	"PENG_CRA001160"
