expression_sample_id	patient_id	public_subtype	basal_program_score	classical_program_score	basal_classical_contrast	coactivation_score	distance_to_basal_centroid	distance_to_classical_centroid	purist_basal_probability	moffitt_score_difference	item_consensus	assignment_entropy	silhouette_width	method_axis_variance	rank_discordance	interpretation_category
YX15261T	PDAC_001	Classical	-0.04598815137863973	-0.04813435683117612	0.0021462054525363886	0.5236255716419899	8.144019111304965	6.416400800365604	0.06157193720193745	-0.1229894301874436	0.878348935148471	0.163616136431656	0.200065337867022	0.074322856541917	3.0	TO_VERIFY
YX15263T	PDAC_002	Classical	0.10104092528629793	0.9315073749993331	-0.8304664497130352	0.6479379301758013	10.342342222621667	4.283682173917159	0.0017788637737859738	-1.5970012517826833	0.892916708815785	0.0	0.361787628595484	0.23507553029519748	7.0	TO_VERIFY
YX15271T	PDAC_003	Hybrid	-0.9387932889481567	-0.355143043687928	-0.5836502452602288	0.36136460934878817	10.023874383277267	7.566559270772407	0.0376878905086059	-0.015024184426624787	0.941274800984725	0.0355454711536524	0.328657194206779	0.13209855326539538	4.0	TO_VERIFY
YX16036T	PDAC_004	Hybrid	-0.17576833771924263	-0.09143553178480994	-0.0843328059344327	0.5078907357628939	7.984846559117079	5.120668271991006	0.025258735740066096	0.07124923973002878	0.932097718516499	0.129762859053042	0.20716168315601	0.12280185965188156	2.0	TO_VERIFY
YX16041T	PDAC_005	Classical	-0.5151000873130108	0.7484759623019991	-1.26357604961501	0.4781324230466708	10.735172103068678	4.2113444915044695	0.0017788637737859738	-1.2108126371025552	0.882516770848147	0.191433254814193	0.14529219684889	0.06260003636558469	3.0	TO_VERIFY
YX16057T	PDAC_006	Classical	0.029331979335625515	0.45856008270890414	-0.4292281033732786	0.6281752886962475	8.40308189804545	3.9322116623125885	0.02354534906034041	-0.45585429074135153	0.626493656168833	0.980431557439793	0.0865373308650146	0.0246872422838277	2.0	HETEROGENEOUS_OR_UNSTABLE
YX16062T	PDAC_007	Classical	-0.1920010122440481	0.3081926334827816	-0.5001936457268297	0.5671769780643345	9.107031600836862	5.3818466790265616	0.007946858362604267	-0.43147881382546327	0.889504210321697	0.0	0.268653064049621	0.02493161691897676	1.0	TO_VERIFY
YX16112T	PDAC_008	Classical	-0.23184203625613684	0.7498711526807414	-0.9817131889368783	0.5561969829843509	10.401464695937293	3.8994114590904627	0.00315376359527949	-0.9955153372593744	0.638750238791424	0.975293500062688	0.0213537276251382	0.01572041630853106	1.0	HETEROGENEOUS_OR_UNSTABLE
YX16113T	PDAC_009	Hybrid	-0.8011883714421099	-0.06423976118288348	-0.7369486102592264	0.3992878644523597	9.909449692224845	7.587424812142639	0.1937226957705711	-0.3582955913396789	0.870789203316304	0.447830492123179	-0.0205336631389877	0.048893303913907775	3.0	TO_VERIFY
YX16119T	PDAC_010	Classical	-0.7296209635917873	0.5379957477806656	-1.2676167113724528	0.41901149871048754	11.649915211178707	5.773724053569922	0.0010959906826550011	-1.2060025219891737	0.89201347494127	0.104735885492688	0.112449226763534	0.06900229090842835	0.0	TO_VERIFY
YX16120T	PDAC_011	Classical	0.1917591112382661	0.5564350871516999	-0.36467597591343376	0.6729394270026754	8.496637392418286	4.4006457149909295	0.10841831763694787	-0.8611172766148779	0.895699475704088	0.0	0.270043350910282	0.0711131957927617	2.0	TO_VERIFY
YX16127T	PDAC_012	Classical	0.2373494633415649	0.6336865858069327	-0.3963371224653678	0.6855039093221323	8.416570294161584	3.5416692583496134	0.1416077805650597	-0.76291282462134	0.889125096990555	0.0	0.271778527644461	0.038850879069442006	1.0	TO_VERIFY
YX16128T	PDAC_013	Classical	-0.3687694096919276	0.6105173695909961	-0.9792867792829237	0.5184604557760168	10.357636293482948	4.826949418166819	0.0010959906826550011	-0.7134192690785223	0.536942532740011	0.995331823891102	0.0721040067919749	0.02256021756974093	1.0	HETEROGENEOUS_OR_UNSTABLE
YX16130T	PDAC_014	Hybrid	-0.3387449951390756	-0.29296015758974053	-0.045784837549335045	0.43466046161831884	8.841782242311295	6.978193854235151	0.022709513482640234	0.057418612902849	0.928873614315212	0.149586978758277	0.233956017228425	0.1260790464214999	6.0	TO_VERIFY
YX16132T	PDAC_015	Hybrid	0.2233780159873724	0.213445004133093	0.009933011854279389	0.6186786116239031	7.135381734143461	4.1391704727345	0.22339332593178307	-0.05088811995449391	0.887461962218853	0.395397649450382	0.06063284907104	0.02411841638597241	5.0	TO_VERIFY
YX16135T	PDAC_016	Hybrid	-1.0012818733012177	-0.5030135516213637	-0.4982683216798539	0.3441430552907507	10.169200578406562	8.411756713986248	0.005112200646136754	0.01524093203141852	0.940024516431151	0.0453670173645079	0.288056319082251	0.13927002451850104	6.0	TO_VERIFY
YX16139T	PDAC_017	Classical	0.036558904101334895	0.42062269395682855	-0.38406378985549366	0.6301669944904266	9.042058714001401	4.264189869456061	0.005112200646136754	-0.28019853899405933	0.894313012128607	0.0	0.268418209072432	0.04536997922796072	3.0	TO_VERIFY
YX16141T	PDAC_018	Hybrid	0.34742583290180784	-0.36451704814819147	0.7119428810499993	0.4086580279623894	5.008475418158375	6.172550380191616	0.6467993925579856	0.21780502708471813	0.938432185928209	0.0365522670117791	0.285343738207579	0.05103129940154682	1.0	TO_VERIFY
YX16144T	PDAC_019	Hybrid	-1.160896830283456	-0.04075301590432248	-1.1201438143791334	0.3001539389009457	11.371435415362253	7.713912089690213	0.0027703704948503125	-0.18048663279652277	0.932891503642636	0.118824308051139	0.11969266523619	0.2673877170427448	2.0	TO_VERIFY
YX16147T	PDAC_020	Classical	-1.2150365193517887	0.306993218326182	-1.5220297376779706	0.285233300329463	12.689473195079357	8.276872646915223	0.0010959906826550011	-0.6857599743186064	0.413426200627879	0.912797650136372	-0.0533239395818713	0.2914981046001071	0.0	HETEROGENEOUS_OR_UNSTABLE
YX16153T	PDAC_021	Classical	0.4633119669340473	1.2628149676019833	-0.799503000667936	0.747778091254641	10.988714783379715	5.819909444515981	0.015704173245002343	-2.0984727066102793	0.893369570550188	0.0457514622353545	0.324176133797949	0.6405063984248178	11.0	METHOD_SENSITIVE
YX16155T	PDAC_022	Hybrid	0.2334636454771174	0.6359497102474863	-0.40248606477036886	0.6844329965609444	8.464695226350454	4.637688294752897	0.025258735740066096	-0.8843238092249348	0.825813608068984	0.581321498763703	0.002250865961825	0.1042295412018927	6.0	HETEROGENEOUS_OR_UNSTABLE
YX16158T	PDAC_023	Hybrid	-2.2500084555587323	-1.3790545189185333	-0.870953936640199	0.0	16.922593454385083	16.81770004349856	0.1416077805650597	-0.008899126389030676	0.857670779554731	0.484056605627113	0.0849769249481872	0.21194172674167636	1.0	TO_VERIFY
YX16159T	PDAC_024	Hybrid	-0.7563809162048281	-1.0906401994466643	0.3342592832418363	0.14479847620824876	9.906686919079807	10.722153068629522	0.012843382614627051	0.20543769298994574	0.937199389756289	0.0364329801420613	0.319538534987507	0.23814197113357097	7.0	TO_VERIFY
YX16160T	PDAC_025	Basal	-1.1895977779595464	-1.4239424311623687	0.23434465320282238	0.023682688477345414	12.99576492319807	14.273028299373152	0.32519472741768646	0.42111540074503206	0.999184339314845	0.0	0.21166347866668	0.06315922817769981	6.0	TO_VERIFY
YX16161T	PDAC_026	Hybrid	-0.9479890089255164	-0.6770032289833138	-0.27098577994220263	0.29510640320414416	10.31274348190518	8.702942555263817	0.005112200646136754	0.08412993644519323	0.938883421857895	0.0470508961408125	0.324690072747211	0.14378587708234616	8.0	TO_VERIFY
YX16166T	PDAC_027	Classical	0.5071374180765115	0.748098806546349	-0.2409613884698375	0.7598561753364235	8.6826488703727	4.159265590311745	0.3333660409266935	-0.7733758812927582	0.891160000758195	0.0	0.298710340152387	0.12363232233781692	4.0	TO_VERIFY
YX16177T	PDAC_028	Classical	-0.3309645870407261	1.1198069616784128	-1.4507715487191388	0.5288792835296383	12.150669319669744	5.193826284535109	0.0010959906826550011	-2.1942386797572184	0.892147570572983	0.0140870376817623	0.33265452464169	0.40688463369052563	3.0	TO_VERIFY
YX16178T	PDAC_029	Classical	0.6518920959355369	0.5989961152824173	0.05289598065311962	0.7587806634373632	8.568258734165019	6.2128545522417	0.08722487443197265	-0.5224497596490401	0.895790345721686	0.0	0.219709620359477	0.14526850301888714	6.0	TO_VERIFY
YX16180T	PDAC_030	Hybrid	-1.064701290497255	-0.4416217403559692	-0.6230795501412858	0.32666496816686963	10.485726815181645	8.26230563938216	0.005112200646136754	0.020481242980806003	0.938201871718809	0.0465921813998105	0.343170487889908	0.18499070080143706	6.0	TO_VERIFY
YX16185T	PDAC_031	Classical	0.08844241977353084	-0.02566753854174637	0.11410995831527722	0.5317895925695555	7.646017772836492	6.501980477685206	0.03636870833940304	0.0160473694294906	0.890642063043523	0.0141183165830593	0.122557117138873	0.16116252838831657	2.0	TO_VERIFY
YX16188T	PDAC_032	Hybrid	0.2131471518599477	-0.6618945190577245	0.8750416709176722	0.3005966253812231	6.363668004874983	8.314883865053131	0.7860032332991974	0.5979312757709472	0.729072423180968	0.813324736918734	-0.140635278585165	0.03633312035303887	1.0	HETEROGENEOUS_OR_UNSTABLE
YX16194T	PDAC_033	Hybrid	-0.4245060100479736	-0.6651724411849835	0.24066643113700992	0.2994054898808099	8.165283087567918	8.073249275457735	0.16492923040609753	0.19378812811923402	0.9363258490375	0.0457514622353545	0.323155496784688	0.08294863870395001	4.0	TO_VERIFY
YX16202T	PDAC_034	Basal	0.43264608922217707	-1.4891155441843051	1.9217616334064822	0.0	7.36498106842551	12.268770545770337	0.991233391480979	0.9923554707607776	0.999279242174629	0.0	0.267703853704512	0.1097021985680094	1.0	TO_VERIFY
YX16203T	PDAC_035	Hybrid	-0.4060247528729529	-0.3415918640614713	-0.06443288881148163	0.4169886104347787	8.039252497947531	6.324561906822296	0.0376878905086059	0.003263914450133021	0.902933560713861	0.277259436801649	0.18488563024752	0.10201242313711857	1.0	TO_VERIFY
YX16207T	PDAC_036	Hybrid	-0.9294984145291791	-0.2401000735022021	-0.6893983410269771	0.36392623214639686	9.938460855301255	7.241922380800395	0.005112200646136754	-0.1059232726984422	0.947805021960285	0.0637873873239944	0.206087020522498	0.12417220225158578	2.0	TO_VERIFY
YX16218T	PDAC_037	Hybrid	-0.5489918520829907	0.23695649555295895	-0.7859483476359497	0.46879201527217607	9.281087854763804	4.883314972921594	0.005112200646136754	-0.38470956199445694	0.722749320355481	0.839801272977736	-0.0357724994149682	0.050670319015068264	1.0	HETEROGENEOUS_OR_UNSTABLE
YX16222T	PDAC_038	Classical	-0.19798894339028802	0.8720412362525348	-1.0700301796428229	0.5655267329675959	10.73915300954957	4.419396924059991	0.005112200646136754	-1.2646482912273163	0.867408519818853	0.374187838597272	0.143837147271578	0.058786957192928445	4.0	TO_VERIFY
YX16224T	PDAC_039	Hybrid	-0.9942851884059377	0.09216257384321355	-1.0864477622491513	0.34607130808121767	11.222952280228647	7.177899269047664	0.00315376359527949	-0.3442482581821591	0.721004120236063	0.848322511681259	-0.0257417043578163	0.17553973354649588	1.0	TO_VERIFY
YX16227T	PDAC_040	Classical	0.25392132685834445	0.8397360060325447	-0.5858146791742003	0.6900710354036605	9.718284671550693	3.9426433956557814	0.00315376359527949	-1.0201059173437097	0.888766605786422	0.134766214582094	0.247924291901064	0.057415492658506116	3.0	TO_VERIFY
YX16236T	PDAC_041	Classical	0.07341592375099956	0.5895824570668999	-0.5161665333159003	0.6403246122839197	9.752269829831276	4.422017489211541	0.007946858362604267	-0.3193068576720565	0.857527369206945	0.282112245600399	0.194805900572286	0.03662990835954149	3.0	TO_VERIFY
YX15047T	PDAC_042	Basal	0.5805748254540349	-0.05438419588079979	0.6349590213348347	0.5213544972006636	5.625129566810319	8.134372411884954	0.991233391480979	0.2332019504531687	0.989471806792443	0.0822290494937995	0.135671552501555	0.3181145034023573	2.0	TO_VERIFY
YX15106T	PDAC_043	Basal	1.1902561336330257	-1.0214372501132312	2.211693383746257	0.1699455317160251	5.3777291840121935	12.074805807056768	0.991233391480979	2.412905578659224	0.999285130718954	0.0	0.468065527732116	0.17765796509413925	0.0	TO_VERIFY
YX15166T	PDAC_044	Basal	0.54357718623604	-1.1417245817141524	1.6853017679501923	0.12623536858300247	5.118359571358014	11.08542254076041	0.90229598889153	0.7683250955087075	0.9991961414791	0.0	0.4458999211515	0.14750213194249298	4.0	TO_VERIFY
YX15187T	PDAC_045	Basal	1.0340161268729622	-0.41321398793816244	1.4472301148111246	0.3909624722129233	5.485725409144259	10.50584354097485	0.991233391480979	1.0225386840085167	0.9992	0.0	0.433518614438071	0.05032035450045564	1.0	TO_VERIFY
YX15211T	PDAC_046	Hybrid	-0.02098193544020707	-0.34682299529363275	0.3258410598534257	0.41508771533231986	5.688796410234293	5.783955479424584	0.4214070443204778	0.1369424905322344	0.940447540111314	0.0639201327830623	0.186969692555308	0.0032010545769468085	1.0	TO_VERIFY
YX15214T	PDAC_047	Basal	1.3785017324574773	-0.5580844946275649	1.9365862270850422	0.3383192437342484	5.807368916578362	11.326906049454427	0.991233391480979	2.86772098279636	0.999297752808989	0.0	0.375557711991067	0.455453250092958	0.0	TO_VERIFY
YX16009T	PDAC_048	Hybrid	-0.8284652787627528	-0.9964986786199482	0.16803339985719545	0.17900774145804918	9.566826950003273	9.942616831710687	0.22339332593178307	0.09917548334925658	0.92169531568148	0.248798185924394	0.192371862191847	0.0352557350919226	1.0	TO_VERIFY
YX16011T	PDAC_049	Basal	1.0302756277858862	-0.7808985158475729	1.8111741436334592	0.25735280207966654	4.1374470840067445	10.203068141110085	0.991233391480979	1.5371030148714404	0.999499198717949	0.0	0.42873164632537	0.005259866071609019	2.0	TO_VERIFY
YX16068T	PDAC_050	Basal	1.3473066869183234	-0.06371967102670043	1.411026357945024	0.5179621604007634	6.105010808248458	8.510462590100317	0.991233391480979	1.5635293933166206	0.999395161290323	0.0	0.48497197636307	0.047092270812212074	5.0	TO_VERIFY
YX16070T	PDAC_051	Basal	0.38451471574498425	-0.7543484029163998	1.138863118661384	0.2670006157935162	4.9709617085550875	9.214002259179757	0.991233391480979	0.6106637609227719	0.999478297161937	0.0	0.349879550623267	0.14074921788019373	0.0	TO_VERIFY
YX16075T	PDAC_052	Hybrid	-1.2523115866333139	-0.04286404475674436	-1.2094475418765696	0.27496047061421713	11.724953544970807	7.982957402493504	0.012843382614627051	-0.17722617342398456	0.938500989193281	0.0251848960173825	0.259313262189396	0.3637505795320058	3.0	TO_VERIFY
YX16079T	PDAC_053	Basal	0.37445601952671964	0.3135307705204103	0.06092524900630936	0.6550479043653652	6.990423524714863	6.425778009297401	0.90229598889153	-0.08660851905705541	0.999384236453202	0.0	0.31134744438589	0.4549228032222313	6.0	TO_VERIFY
YX16087T	PDAC_054	Basal	0.9360950160886737	-0.7600659793045043	1.696160995393178	0.26492295563326995	4.779078794035485	10.807281853575294	0.90229598889153	1.3026450990362988	0.99948003327787	0.0	0.469187786680063	0.01496254415984478	2.0	TO_VERIFY
YX16094T	PDAC_055	Basal	1.1657370610732989	-0.048133782661354	1.2138708437346528	0.5236257802845481	5.658183489925845	8.874794024222878	0.90229598889153	1.0800967871264644	0.999205087440382	0.0	0.363938873335892	0.009958778047166121	2.0	TO_VERIFY
YX16172T	PDAC_056	Basal	0.27568326758725226	-0.9810448531143632	1.2567281207016154	0.18462337217234143	5.465150700211568	10.097039509254607	0.991233391480979	0.4337499555443441	0.999292071197411	0.0	0.354616787063982	0.2270363259609747	3.0	TO_VERIFY
YX16295T	PDAC_057	Basal	0.9850997407605763	-0.41370545830390126	1.3988051990644776	0.3907838810880261	4.712166338012964	9.639156513848267	0.991233391480979	1.0986088034376085	0.999803459119497	0.0	0.513897158901431	0.02717408058606374	1.0	TO_VERIFY
YX16327T	PDAC_058	Basal	0.6668597733920543	-0.7205480194102971	1.3874077928023514	0.27928304202533366	5.388929305205972	9.632857623153544	0.90229598889153	0.9465183490137187	0.999188311688312	0.0	0.25403958197015	0.02464593549001542	0.0	TO_VERIFY
YX16335T	PDAC_059	Classical	0.5779441374833576	0.6401551874337629	-0.06221104995040527	0.7737370992830593	8.196443873849319	4.341591543092644	0.3333660409266935	-0.5192594993612587	0.889142085161629	0.0	0.387283989952763	0.06552124243795181	4.0	TO_VERIFY
YX16341T	PDAC_060	Basal	0.9172842929613766	-0.8300147004237615	1.747298993385138	0.2395049006280027	4.46294544781304	10.367832139311721	0.991233391480979	1.0330228477941859	0.999303343949045	0.0	0.487405656643504	0.06636933011571353	0.0	TO_VERIFY
YX16343T	PDAC_061	Hybrid	0.8993475786922915	-0.3717131556320388	1.2710607343243303	0.4060430972971611	4.784904321766935	8.344070034209222	0.991233391480979	0.806643496906559	0.925582716621596	0.16459847293646	0.150291482420556	0.08331866546139978	1.0	TO_VERIFY
YX16347T	PDAC_062	Classical	0.25634432964079096	0.15868834931762082	0.09765598032317013	0.5987810689421551	8.436024544539727	6.890040491059319	0.10841831763694787	-0.21810300780158248	0.888999161664878	0.0743861810421453	0.118871256942193	0.059249650497915994	4.0	TO_VERIFY
