signature	expected_genes	missing_genes	missing_gene_symbols	score_direction
Moffitt_50_gene_axis.tsv	50	0		higher_contrast_more_basal
Moffitt_49_gene_axis_no_LEMD1.tsv	49	0		higher_contrast_more_basal
