sample_id	patient_id	cell_type	tumor_control_status	BHLHE40	CTCFL	E2F6	ELF1	GRHL2	IRF3	JUNB	KLF1	KLF13	KLF9	MBD1	MBD2	MNT	MXI1	OTX2	SIX5	SNAI2	SNAPC4	TFAP4	TP63	ZBED1	ZBTB7A	ZNF24	ZNF384	ZNF740	dataset_id
N10|nonmalignant_epithelial	N10	nonmalignant_epithelial	CONTROL_PANCREAS	-5.92238147403892	2.89242768265028	-5.15936180909995	6.62873002099064	5.51529676373289	4.32759381685479	6.48185904141989	4.09142877373166	-4.05988430095333	5.88341039586477	-4.64629825773728	-1.18714479378585	-5.2869442542203	-8.27525214000759	1.36638552952393	3.40593691461221	-4.97732089660492	2.8133592346998	3.34378778305128	0.350173268902435	4.17371296267447	-5.61315332496921	-1.07282734215691	7.4041846067514	4.80600229219756	PENG_CRA001160
N11|endothelial	N11	endothelial	CONTROL_PANCREAS	-6.1719375915384	3.71049953811874	-5.56874494732371	7.49106732676479	4.69001142489119	4.55597899194815	6.64805914127348	5.39419847743988	-4.80019995203401	7.60312023723372	-4.73289800728589	-0.0259956058156452	-5.84895929363551	-8.28341872628701	1.90763877034244	3.41487672940741	-5.0635216842884	2.94597015256409	3.49829946819998	0.235670753444741	4.64292308634262	-6.71759586646013	-0.870696264399428	7.75009322405644	4.9281783641585	PENG_CRA001160
N11|fibroblast_caf	N11	fibroblast_caf	CONTROL_PANCREAS	-5.04873861343052	3.68249107328394	-4.32588644612144	6.63133058241238	2.81850077305852	3.49402454761486	6.41420675740231	4.35097030395449	-4.67972213591605	6.34173503757888	-3.63085775242636	-0.183034171852056	-4.61494562335852	-7.32179944194032	2.86124046524785	3.25329589937356	-4.04591044847834	2.06147241842621	2.6953336780673	0.285864961988506	3.61943949659184	-5.13642925128401	-0.383863161490503	6.75938158121216	4.46360798068972	PENG_CRA001160
N11|myeloid	N11	myeloid	CONTROL_PANCREAS	-5.64334209634181	2.23124244941024	-5.22050504857804	6.56274310628441	3.38330051281927	4.09595625410951	6.386987043168	5.12833874555026	-5.0418994386125	5.44052807311218	-4.41064075916938	0.0640442205447374	-5.01146459689458	-7.40064880585742	1.7960146207231	2.79588703869919	-3.8050592127727	2.43004845288639	2.23549368109349	-0.847186892791783	4.50354261128857	-4.28640689170388	-1.37837673919643	6.94753597253278	4.23134761248383	PENG_CRA001160
N11|nonmalignant_epithelial	N11	nonmalignant_epithelial	CONTROL_PANCREAS	-5.73118553918818	2.88992410078242	-5.12558823836399	6.41612505684913	5.60386164468005	4.29360693611528	6.22734515432439	4.3627856681752	-3.60537126084512	6.02862732554241	-4.4985175531317	-1.25719904730914	-4.92312191365408	-8.24905782647163	1.52242481085325	3.75159961260077	-4.69546972357683	2.88098900062974	3.29343040569738	0.0980908947970065	3.98410806714346	-5.77112910103846	-0.914050354242882	7.58559509845338	4.90022228283373	PENG_CRA001160
N1|endothelial	N1	endothelial	CONTROL_PANCREAS	-7.18982219180881	3.56552145642719	-5.82071617088522	7.75383922968481	4.663688426795	4.7122101318658	6.97121047562174	5.03271011927887	-4.74405632254819	7.17592413355251	-4.76600160505218	0.0221971423203399	-6.32672860994671	-8.41623642263273	2.00565891748973	2.81415137784731	-5.35728546872193	2.99356737048362	3.64936313977484	0.83313036306608	4.50683000931679	-6.14068419088389	-1.06379875853731	7.65110824863058	5.04794821555378	PENG_CRA001160
N1|fibroblast_caf	N1	fibroblast_caf	CONTROL_PANCREAS	-5.92162445047686	3.71320126761236	-4.94420456850923	6.84621670096326	3.82616679923393	3.92862595308455	7.45948658518454	4.7752969746984	-5.04770606506013	6.63913285261885	-4.18546408728266	-0.46365898129946	-5.80926281519578	-8.2189389900066	2.29441293339847	3.10840434572997	-4.81962673074445	2.46807658418776	3.31533562931132	0.345386774488226	4.17721164814548	-5.52778948989747	-0.793025200020424	7.31599881420077	4.70064063424338	PENG_CRA001160
N1|myeloid	N1	myeloid	CONTROL_PANCREAS	-6.67335350139996	2.29948753837655	-5.2200090108359	6.84266408144154	4.43667192383277	4.61383662524075	7.00996014266084	4.85738974114117	-4.85330055826899	5.9590488907704	-4.65618641166484	-0.693535196436095	-6.345017176299	-8.1835709500894	1.30078242502484	2.87423408165356	-4.7053986588238	2.56921427319966	2.60515149140289	0.241550571632126	4.18514214335376	-5.58544450889755	-1.44280817982143	6.87908535912518	5.0833577264975	PENG_CRA001160
N1|nonmalignant_epithelial	N1	nonmalignant_epithelial	CONTROL_PANCREAS	-6.03683505378911	3.38010947303889	-5.58635985681042	6.88619096790757	5.63403504062734	4.28941322664249	6.62628540653769	4.42084385653773	-4.32578213739138	6.24601030102911	-4.97513337054568	-0.430321844752195	-5.78594043603786	-8.62130955341333	1.4273353492627	3.51265667467097	-5.28005079400653	2.76947724389589	3.60739938960396	0.728653211577223	4.22953641807509	-6.517024175003	-0.863309513787086	7.64536516845833	5.22707359877896	PENG_CRA001160
N2|endothelial	N2	endothelial	CONTROL_PANCREAS	-6.14041797344687	3.40083793806879	-5.3734726925788	7.26588306397643	3.91642589992975	4.48948944668704	6.27125209117635	5.43891697932011	-4.90764658401124	7.16809846817894	-4.66886487026495	0.232431586760728	-5.86475511428078	-7.94520193761514	1.82960571639966	3.22706536630929	-5.1402209386145	3.31021274295794	2.97847588757285	0.332131184036415	4.4646958393162	-5.65426202752578	-0.805228085539511	7.48307076343441	4.89940642499568	PENG_CRA001160
N2|fibroblast_caf	N2	fibroblast_caf	CONTROL_PANCREAS	-5.08949293006538	3.41133595869633	-4.2005269005102	5.94728579477897	3.22668812011313	4.19257692659808	6.21713981909235	4.51609563524039	-4.88860446979348	6.01657058080928	-3.72571733916008	-0.516977694789993	-5.03388830993896	-7.65887378354363	2.39464337365015	3.51212922195355	-4.12492294879925	2.46132191832459	3.00078683538179	-0.2027700741253	3.82946265747369	-4.72593307382648	-0.504243385490496	6.64338724635342	4.32801459275386	PENG_CRA001160
