metric	count	mean	std	min	25%	50%	75%	max
moffitt_score_difference	23.0	-2.2489440739362813e-05	0.3326960889431387	-0.8843238092249348	-0.14157472306121338	0.01524093203141852	0.11805898694074549	0.806643496906559
purist_basal_probability	23.0	0.1738375690779994	0.2772373693282517	0.0027703704948503125	0.005112200646136754	0.025258735740066096	0.2085580108511771	0.991233391480979
item_consensus	23.0	0.8937274536261792	0.07385950348218442	0.721004120236063	0.8791255827675786	0.932097718516499	0.938466587560745	0.947805021960285
assignment_entropy	23.0	0.2584812913321515	0.2795543274690344	0.0251848960173825	0.046171821817582503	0.129762859053042	0.4216140707867805	0.848322511681259
silhouette_width	23.0	0.16863124583207775	0.14006006226938975	-0.140635278585165	0.0728048870096136	0.192371862191847	0.286700028644915	0.343170487889908
bootstrap_assignment_frequency	23.0	0.9380498296543839	0.08880371534605361	0.725161290322581	0.9142400071241386	0.982051282051282	0.9949006123165325	0.997503121098627
basal_program_score	23.0	-0.5619154852989723	0.6828179787747958	-2.2500084555587323	-0.9711370986657271	-0.7563809162048281	-0.09837513657972485	0.8993475786922915
classical_program_score	23.0	-0.33863155591111804	0.4543744052462844	-1.3790545189185333	-0.5824540353395441	-0.34682299529363275	-0.05355190296981392	0.6359497102474863
basal_classical_contrast	23.0	-0.2232839293878542	0.6593405406628627	-1.2094475418765696	-0.7131734756431017	-0.27098577994220263	0.20434991549710269	1.2710607343243303
coactivation_score	23.0	0.36072693282603935	0.14400489491275778	0.0	0.2997797143908778	0.36136460934878817	0.4160381628835493	0.6844329965609444
singscore_basal_score	23.0	0.5555423926804357	0.13621763770492568	0.2536699957799972	0.47200965911755055	0.5226149950766633	0.6429490786327191	0.8335321423547617
singscore_classical_score	23.0	0.6210566927817566	0.0771841616563528	0.43245416608055515	0.588616776855629	0.6223285037745581	0.6695747174942562	0.766719651146434
singscore_contrast	23.0	-0.06551430010132087	0.12987756320096583	-0.283945233741267	-0.15947953298635537	-0.060600647067098	0.01612181741454491	0.22926993951329322
distance_to_basal_centroid	23.0	9.187525118589685	2.5873627943106663	4.784904321766935	8.012049528532305	9.566826950003273	10.24097203015587	16.922593454385083
distance_to_classical_centroid	23.0	7.691411168922241	2.5735424046960955	4.1391704727345	6.248556143506956	7.587424812142639	8.329476949631177	16.81770004349856
relative_centroid_distance_score	23.0	-1.4961139496674438	2.1087529835430745	-4.39777288184221	-2.9301947742675174	-1.8635883880761437	0.0015626285400545115	3.5591657124422875
centroid_to_centroid_distance	23.0	8.27338803842002	3.632559910795017e-15	8.273388038420018	8.273388038420018	8.273388038420018	8.273388038420018	8.273388038420018
midpoint_proximity	23.0	0.8592793905236017	0.09289766824535726	0.6895193581160775	0.7949060280400173	0.8672891618727336	0.9103802313286508	0.996891152980246
distance_to_both_poles	23.0	2.0401480275226307	0.5693490037113911	1.3514446253974146	1.6494679723056853	2.076583759436795	2.282240257338673	4.0781712813662585
method_axis_variance	23.0	0.1239988047492133	0.08701141367681049	0.0032010545769468085	0.05085080920830754	0.12280185965188156	0.159662805314421	0.3637505795320058
rank_discordance	23.0	3.1739130434782608	2.348155444619214	1.0	1.0	2.0	5.5	8.0
score_agreement_across_methods	23.0	0.8586956521739131	0.18194165767745163	0.5	0.75	1.0	1.0	1.0
