genus	observed_coefficient	empirical_p_value	permutations	random_seed	inference	analysis_role	bh_q_value
Ralstonia	0.031379654179904334	0.8043	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.9257037735849057
Erythrobacter	-0.2548507983343433	0.0002	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.0024400000000000003
Xanthobacter	-0.06119428105555481	0.7164	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.87657
Paucibacter	0.31910304133858397	0.014	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.056933333333333336
Streptomyces	0.44211822881586166	0.001	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.009384615384615385
Collimonas	0.17601555892695295	0.2165	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.37732857142857146
Bacillus	0.26201839777348307	0.2032	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.3656411764705883
Polaromonas	0.08655297246084848	0.5338	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.7572511627906977
Ochrobactrum	0.8384922431539964	0.0022	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.014911111111111113
Fusarium	-0.5541799813656734	0.0127	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.05533571428571428
Serratia	-0.421007314809775	0.0472	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.13087272727272725
Candidatus Accumulibacter	-0.0194308471665936	0.906	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.9573411764705883
Methylibium	0.3477265079148488	0.0288	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.0915
Novosphingobium	-0.25781840438281595	0.0002	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.0024400000000000003
Pseudoxanthomonas	0.23751779228445913	0.1705	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.32501562500000003
Burkholderia	-0.16849646368638194	0.0085	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.04148
Rhizobacter	0.15277651627764677	0.2869	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.46669066666666664
Sphingomonas	-0.19589068213325062	0.0021	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.014911111111111113
Diaphorobacter	0.045438480615767614	0.8599	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.9383203539823008
Fusobacterium	0.4371138982873978	0.077	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.1917142857142857
Sphingobacterium	-0.11751947992487292	0.4575	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.6644642857142857
Alicycliphilus	-0.03415482154685777	0.7908	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.9222038095238095
Devosia	-0.3156694203153705	0.0616	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.16337391304347829
Ottowia	0.0549579809862542	0.6802	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.8555092783505155
Thauera	-0.08946925035667533	0.5573	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.7620933333333333
Phreatobacter	-0.23713102566135216	0.0916	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.20694814814814816
Dickeya	0.19271674586848883	0.3193	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.49941794871794865
Rhizobium	-0.3054503657451043	0.0012	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.010457142857142856
Sinorhizobium	0.25225224119153344	0.2165	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.37732857142857146
Stenotrophomonas	-0.05074222709045243	0.5529	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.7620933333333333
Corynebacterium	0.19583943586991295	0.256	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.4337777777777778
Leptothrix	0.11125612660504469	0.4665	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.669564705882353
Altererythrobacter	0.022229938252202926	0.8691	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.9383203539823008
Roseolovirus	-0.9369978304560189	0.0002	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.0024400000000000003
Janibacter	0.266711888432532	0.1142	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.2533163636363636
Lactobacillus	0.14331419352959657	0.4384	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.6480698795180724
Acinetobacter	-0.1046630522562779	0.0906	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.20694814814814816
Janthinobacterium	-0.07225368503898114	0.5622	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.7620933333333333
Paracoccus	0.30665512435934034	0.1343	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.29258214285714285
Delftia	-0.01611019267617384	0.9332	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.9573411764705883
Sphingorhabdus	0.23194368445742053	0.0683	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.17728936170212767
Klebsiella	-0.7027783313711449	0.0002	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.0024400000000000003
Brachybacterium	0.17653784748963708	0.1464	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.30272542372881356
Herbaspirillum	0.3666245045673407	0.0117	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.052866666666666666
Melaminivora	0.013491304426811306	0.9264	9999	2026	two_sided_empirical_permutation_abs_coefficient	supporting	0.9573411764705883
