feature_name	feature_family	eligible_patients	coefficient	standard_error	confidence_interval_low	confidence_interval_high	p_value	model_diagnostics	q_value	dataset_id	effect_direction	feature_coverage	bulk_external_evidence_category
BHLHE40	partially replicated TF	24	-0.046359461139354	0.0761053791236432	-0.195526004221695	0.102807081942987	0.548665662254479	HC3_OLS; residual_sd=0.324	0.716597389956531	PENG_CRA001160	negative	see phase9b2_single_cell_feature_coverage.tsv	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE
E2F6	partially replicated TF	24	-0.0461990712063	0.0389801077007773	-0.122600082299823	0.0302019398872234	0.248584895120592	HC3_OLS; residual_sd=0.197	0.716597389956531	PENG_CRA001160	negative	see phase9b2_single_cell_feature_coverage.tsv	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE
ELF1	partially replicated TF	24	-0.0633171333834337	0.0823388669961508	-0.224701312695889	0.098067045929022	0.45008111334	HC3_OLS; residual_sd=0.3959	0.716597389956531	PENG_CRA001160	negative	see phase9b2_single_cell_feature_coverage.tsv	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE
GRHL2	partially replicated TF	24	0.0627906112619098	0.10419931338433	-0.141440042971377	0.267021265495196	0.552935583727266	HC3_OLS; residual_sd=0.4759	0.716597389956531	PENG_CRA001160	positive	see phase9b2_single_cell_feature_coverage.tsv	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE
KLF1	partially replicated TF	24	0.0391306951711305	0.0748509341992839	-0.107577135859466	0.185838526201727	0.606351637655526	HC3_OLS; residual_sd=0.3461	0.716597389956531	PENG_CRA001160	positive	see phase9b2_single_cell_feature_coverage.tsv	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE
MBD1	partially replicated TF	24	0.0581250836508752	0.0350974864116921	-0.0106659897160413	0.126916157017792	0.111896336491166	HC3_OLS; residual_sd=0.1808	0.716597389956531	PENG_CRA001160	positive	see phase9b2_single_cell_feature_coverage.tsv	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE
MBD2	partially replicated TF	24	0.065472270095524	0.0576255683155392	-0.0474738438029328	0.178418383993981	0.268112263963432	HC3_OLS; residual_sd=0.3393	0.716597389956531	PENG_CRA001160	positive	see phase9b2_single_cell_feature_coverage.tsv	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE
OTX2	partially replicated TF	24	0.00761036476441895	0.056214245596194	-0.102569556604121	0.117790286132959	0.893541373588564	HC3_OLS; residual_sd=0.3086	0.941392340793028	PENG_CRA001160	positive	see phase9b2_single_cell_feature_coverage.tsv	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE
SIX5	partially replicated TF	24	0.0524162746325324	0.0733196549464387	-0.0912902490624874	0.196122798327552	0.482188497175185	HC3_OLS; residual_sd=0.2927	0.716597389956531	PENG_CRA001160	positive	see phase9b2_single_cell_feature_coverage.tsv	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE
SNAPC4	partially replicated TF	24	-0.0031292075151261	0.042079279763302	-0.0856045958511981	0.0793461808209459	0.941392340793028	HC3_OLS; residual_sd=0.195	0.941392340793028	PENG_CRA001160	negative	see phase9b2_single_cell_feature_coverage.tsv	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE
ZBED1	partially replicated TF	24	-0.0167053871002776	0.0286685205631411	-0.0728956874040341	0.0394849132034789	0.566014947028928	HC3_OLS; residual_sd=0.1561	0.716597389956531	PENG_CRA001160	negative	see phase9b2_single_cell_feature_coverage.tsv	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE
ZNF384	partially replicated TF	24	-0.0544513928156775	0.0505801518189468	-0.153588490380813	0.0446857047494582	0.293351455942277	HC3_OLS; residual_sd=0.2733	0.716597389956531	PENG_CRA001160	negative	see phase9b2_single_cell_feature_coverage.tsv	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE
ZNF740	partially replicated TF	24	0.0317396723921011	0.0334331925109345	-0.0337893849293305	0.0972687297135326	0.352757684119154	HC3_OLS; residual_sd=0.2074	0.716597389956531	PENG_CRA001160	positive	see phase9b2_single_cell_feature_coverage.tsv	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE
