cohort_id	feature_name	model_id	term	patient_count	ROI_count	segment_count	replicate_unit	inferential_unit	random_effect_structure	model_converged	reduced_model_level	reduction_reason	inference_method	denominator_df	influential_patient_check	eligibility_status	coefficient	std_error	ci_low	ci_high	p_value	q_value
HWANG_GSE202051_TREATED	HALLMARK_PROTEIN_SECRETION	HWANG_GSE202051_TREATED_MODEL_A	is_tumor	7	67	197	patient	segment	(1 | patient_id) + (1 | patient_id:ROI_id)	True	Level 2	lymphoid_fraction unavailable in official segment metadata; immune segment area used as myeloid_fraction	statsmodels_asymptotic_z_locked_plan	infinite_asymptotic_z	EXECUTED_LOPO	ELIGIBLE	0.04785367893294168	0.0050099772992233645	0.03803412342646388	0.05767323443941948	1.276150569717699e-21	2.552301139435398e-21
HWANG_GSE202051_TREATED	HALLMARK_PROTEIN_SECRETION	HWANG_GSE202051_TREATED_MODEL_B	Moffitt50_contrast	7	67	67	patient	segment	(1 | patient_id)	True	Level 2	lymphoid_fraction unavailable in official segment metadata; immune segment area used as myeloid_fraction	statsmodels_asymptotic_z_locked_plan	infinite_asymptotic_z	EXECUTED_LOPO	ELIGIBLE	-0.00166522586215704	0.006012831442081327	-0.01345037548863644	0.010119923764322362	0.7818220500175642	0.7818220500175642
HWANG_GSE202051_TREATED	HALLMARK_PROTEIN_SECRETION	HWANG_GSE202051_TREATED_MODEL_C	Moffitt50_contrast	7	67	67	patient	ROI	(1 | patient_id)	False	Level 1	none	statsmodels_asymptotic_z_locked_plan	infinite_asymptotic_z	EXECUTED_LOPO	ELIGIBLE						
HWANG_GSE202051_TREATED	HALLMARK_SPERMATOGENESIS	HWANG_GSE202051_TREATED_ELIGIBILITY_GATE	not_fit	7	67	197	patient	none	not_fit	NOT_FIT_INELIGIBLE	not_fit	feature below locked 80% coverage threshold	not_applicable_ineligible		NOT_APPLICABLE	INSUFFICIENT_SPATIAL_DATA						
