analysis_id	candidate_K	adjusted_rand_index	normalized_mutual_information	cohens_kappa	confusion_matrix	per_class_agreement
STAB_CSY_PRIMARY	2	0.497836202128006	0.73398838291218	0.344066237350506	           aligned_labels |             Basal Hybrid |   Basal        17      0 |   Classical     0     22 |   Hybrid        0     23	Basal=1.000000;Classical=NA;Hybrid=1.000000
STAB_CSY_PRIMARY	3	1	1	1	           aligned_labels |             Basal Classical Hybrid |   Basal        17         0      0 |   Classical     0        22      0 |   Hybrid        0         0     23	Basal=1.000000;Classical=1.000000;Hybrid=1.000000
STAB_CSY_PRIMARY	4	0.910963347388907	0.930762539307071	0.9032006245121	           aligned_labels |             Basal Classical Hybrid UNMAPPED_1 |   Basal        17         0      0          0 |   Classical     0        18      0          4 |   Hybrid        0         0     23          0	Basal=1.000000;Classical=0.818182;Hybrid=1.000000
STAB_CSY_PRIMARY	5	0.741270725333105	0.850626609532566	0.686503306106573	           aligned_labels |             Basal Classical Hybrid UNMAPPED_1 UNMAPPED_2 |   Basal        17         0      0          0          0 |   Classical     0        18      0          4          0 |   Hybrid        0         0     14          0          9	Basal=1.000000;Classical=0.818182;Hybrid=0.608696
STAB_CSY_PRIMARY	6	0.736995645552243	0.840567752600481	0.683549273655281	           aligned_labels |             Basal Classical Hybrid UNMAPPED_1 UNMAPPED_2 UNMAPPED_3 |   Basal        17         0      0          0          0          0 |   Classical     0        18      0          1          3          0 |   Hybrid        0         0     14          0          0          9	Basal=1.000000;Classical=0.818182;Hybrid=0.608696
STAB_CSY_LOG2	2	0.423347350714886	0.561102895276286	0.321598477640343	           aligned_labels |             Basal Classical |   Basal        17         0 |   Classical     0        22 |   Hybrid        4        19	Basal=1.000000;Classical=1.000000;Hybrid=NA
STAB_CSY_LOG2	3	0.384699659992444	0.470498848325178	0.54252427184466	           aligned_labels |             Basal Classical Hybrid |   Basal        17         0      0 |   Classical     0        19      3 |   Hybrid        4        12      7	Basal=1.000000;Classical=0.863636;Hybrid=0.304348
STAB_CSY_LOG2	4	0.403168193818916	0.49567892709108	0.518446601941748	           aligned_labels |             Basal Classical Hybrid UNMAPPED_1 |   Basal        16         0      0          1 |   Classical     0        19      3          0 |   Hybrid        1        12      7          3	Basal=0.941176;Classical=0.863636;Hybrid=0.304348
STAB_CSY_LOG2	5	0.406913079905695	0.503674019607207	0.515814135103475	           aligned_labels |             Basal Classical Hybrid UNMAPPED_1 UNMAPPED_2 |   Basal        16         0      0          0          1 |   Classical     0        19      2          1          0 |   Hybrid        1        12      7          0          3	Basal=0.941176;Classical=0.863636;Hybrid=0.304348
STAB_CSY_LOG2	6	0.361562893014729	0.48549802705763	0.365354330708661	           aligned_labels |             Basal Classical Hybrid UNMAPPED_1 UNMAPPED_2 UNMAPPED_3 |   Basal        16         0      0          0          1          0 |   Classical     0         9     10          1          0          2 |   Hybrid        1         1     11          0          3          7	Basal=0.941176;Classical=0.409091;Hybrid=0.478261
STAB_UNSUP_HVG	2	0.147317494600432	0.16943019836137	-0.353711790393013	           aligned_labels |             Basal Hybrid |   Basal        15      2 |   Classical    15      7 |   Hybrid        6     17	Basal=0.882353;Classical=NA;Hybrid=0.739130
STAB_UNSUP_HVG	3	0.331939230065944	0.366316470876409	0.582408874801902	           aligned_labels |             Basal Classical Hybrid |   Basal        13         2      2 |   Classical     0        15      7 |   Hybrid        1         5     17	Basal=0.764706;Classical=0.681818;Hybrid=0.739130
STAB_UNSUP_HVG	4	0.373833289465692	0.415167625275186	0.563038371182459	           aligned_labels |             Basal Classical Hybrid UNMAPPED_1 |   Basal        13         0      2          2 |   Classical     0        14      7          1 |   Hybrid        1         2     17          3	Basal=0.764706;Classical=0.636364;Hybrid=0.739130
STAB_UNSUP_HVG	5	0.437389616902514	0.498567275328633	0.492595479345284	           aligned_labels |             Basal Classical Hybrid UNMAPPED_1 UNMAPPED_2 |   Basal        13         0      0          2          2 |   Classical     0        14      0          1          7 |   Hybrid        1         2     14          3          3	Basal=0.764706;Classical=0.636364;Hybrid=0.608696
STAB_UNSUP_HVG	6	0.461321087954786	0.539850353816774	0.48780487804878	           aligned_labels |             Basal Classical Hybrid UNMAPPED_1 UNMAPPED_2 UNMAPPED_3 |   Basal        13         0      0          2          2          0 |   Classical     0        14      0          0          1          7 |   Hybrid        1         2     14          1          3          2	Basal=0.764706;Classical=0.636364;Hybrid=0.608696
STAB_CSY_OUTLIER_EXCL	2	0.520479191853017	0.743934973531195	0.404324324324324	           aligned_labels |             Basal Classical |   Basal        17         0 |   Classical     0        22 |   Hybrid        0        19	Basal=1.000000;Classical=1.000000;Hybrid=NA
STAB_CSY_OUTLIER_EXCL	3	0.842930968376482	0.861772642659403	0.92228673514962	           aligned_labels |             Basal Classical Hybrid |   Basal        17         0      0 |   Classical     0        19      3 |   Hybrid        0         0     19	Basal=1.000000;Classical=0.863636;Hybrid=1.000000
STAB_CSY_OUTLIER_EXCL	4	0.816542425552022	0.836318347728143	0.896613190730838	           aligned_labels |             Basal Classical Hybrid UNMAPPED_1 |   Basal        17         0      0          0 |   Classical     0        18      3          1 |   Hybrid        0         0     19          0	Basal=1.000000;Classical=0.818182;Hybrid=1.000000
STAB_CSY_OUTLIER_EXCL	5	0.791193214332645	0.813311456181393	0.870766488413547	           aligned_labels |             Basal Classical Hybrid UNMAPPED_1 UNMAPPED_2 |   Basal        17         0      0          0          0 |   Classical     0        17      3          1          1 |   Hybrid        0         0     19          0          0	Basal=1.000000;Classical=0.772727;Hybrid=1.000000
