genus	max_cooks_distance	n_cooks_gt_4_over_n	max_abs_dfbeta_host_score	n_abs_dfbeta_gt_2_over_sqrt_n	max_leverage	max_abs_studentized_residual	leave_one_sample_out_coef_min	leave_one_sample_out_coef_max	leave_one_sample_out_direction_reversal	support_depends_on_one_or_two_patients	contamination_risk_category
Mitsuaria	0.182648097827923	7	0.5408945337754232	8	0.09080065219490129	2.497940818638968	-0.024578079865437464	0.10355845933943449	True	False	LOW_CURRENT_CONCERN
Pandoraea	0.2720623182398479	3	0.6503724640333227	4	0.09080065219490129	3.788643098996184	0.408754631358125	0.486110979535381	False	False	LOW_CURRENT_CONCERN
Rhodococcus	0.0859725814116545	4	0.3783562315627858	4	0.09080065219490129	2.5720759280474015	-0.10416771685875989	0.0003520773403742771	True	False	LOW_CURRENT_CONCERN
Streptococcus	0.12685713153333641	1	0.26548911920400065	2	0.09080065219490129	4.501943585030398	0.2410668613710025	0.34699070672352805	False	True	LOW_CURRENT_CONCERN
Rhizorhabdus	0.1592015202405526	4	0.41825223457768645	3	0.09080065219490129	4.956331837445667	-0.325693154157844	-0.2576505440166301	False	False	LOW_CURRENT_CONCERN
Citromicrobium	0.1535097649860981	6	0.5115497151561494	6	0.09080065219490129	2.4472292954200956	-0.07407500856256861	0.04038756134628497	True	False	LOW_CURRENT_CONCERN
Massilia	0.08616018420582282	2	0.3231740639082523	3	0.09080065219490129	2.163577041036693	0.11192144385752367	0.19230319032510912	False	True	LOW_CURRENT_CONCERN
Candida	0.12788544894895001	4	0.40353695631346853	5	0.09080065219490129	2.9701221258015256	-1.2100255822676875	-1.025592616930195	False	False	LOW_CURRENT_CONCERN
Ramlibacter	0.17517482024215558	4	0.5376030660971964	5	0.09080065219490129	2.8717370962452122	-0.40872976418863316	-0.32341494702603496	False	False	LOW_CURRENT_CONCERN
Caulobacter	0.13060209694103608	5	0.3541319169728094	4	0.09080065219490129	4.5584678133123075	-0.1376910101788372	-0.1023120123042787	False	False	HIGH_RISK_POTENTIAL_CONTAMINANT
Bacteroides	0.1650954379085849	3	0.531586859044363	4	0.09080065219490129	2.464747678098746	0.15517835581472048	0.3960241977195939	False	False	LOW_CURRENT_CONCERN
Enterococcus	0.10107456046517138	3	0.36183442296306667	5	0.09080065219490129	2.939093082220892	-0.132076530835106	-0.016819900655912042	False	False	LOW_CURRENT_CONCERN
Laribacter	0.19860517245913875	8	0.5865265140126295	9	0.09080065219490129	2.5435504835100606	0.024493520573666567	0.14417848089767604	False	False	LOW_CURRENT_CONCERN
Variovorax	0.14645422938828853	7	0.4883084108346376	8	0.09080065219490129	2.930833997995824	-0.3482253106751796	-0.2845622256119343	False	False	LOW_CURRENT_CONCERN
Pseudomonas	0.1441735700964021	6	0.47559665582253213	5	0.09080065219490129	3.934253234915184	0.08006551280418761	0.13727202925190932	False	False	BIOLOGICALLY_PLAUSIBLE_BUT_CONTAMINATION_SENSITIVE
Methylobacterium	0.07712816415878605	3	0.30617020883944807	2	0.09080065219490129	2.3823727900532976	0.162544660684338	0.24106406501507446	False	False	BIOLOGICALLY_PLAUSIBLE_BUT_CONTAMINATION_SENSITIVE
Elizabethkingia	0.18928668467526974	4	0.3556316973706604	3	0.09080065219490129	4.916188784749878	0.31513908769638876	0.42751842627456654	False	False	HIGH_RISK_POTENTIAL_CONTAMINANT
Tessaracoccus	0.11097531669712135	5	0.42164910569229114	6	0.09080065219490129	3.6741513250341695	-0.1411349660941869	-0.0856769074221032	False	False	LOW_CURRENT_CONCERN
Agrobacterium	0.17795285354939425	5	0.5531560196190053	6	0.09080065219490129	3.853442868021163	-0.26911616851599185	-0.17177794849873154	False	False	LOW_CURRENT_CONCERN
Azospirillum	0.181833858718385	5	0.5595408469979409	5	0.09080065219490129	2.195815227366749	0.06443006454976545	0.19044510783574436	False	False	LOW_CURRENT_CONCERN
Clostridium	0.19537310645664407	4	0.5711075697942775	3	0.09080065219490129	3.7913637664322897	-0.4684138883941466	-0.2208039702656352	False	False	LOW_CURRENT_CONCERN
Ensifer	0.15406244380523634	3	0.49286021280062836	6	0.09080065219490129	2.673406436047352	0.3653565868862987	0.4913995173670515	False	False	LOW_CURRENT_CONCERN
Roseomonas	0.20284851185273833	7	0.5686555332143189	11	0.09080065219490129	2.70094480779979	-0.12237414578807392	0.008546638098063292	True	False	LOW_CURRENT_CONCERN
Croceicoccus	0.20108175136258447	5	0.5794896906380309	5	0.09080065219490129	2.363801063780407	-0.03957608119992644	0.13852124030202412	True	False	LOW_CURRENT_CONCERN
Rhodobacter	0.18664298882079	2	0.5673769006927695	4	0.09080065219490129	1.985584692765607	0.18364989457293157	0.3423119694037654	False	True	LOW_CURRENT_CONCERN
Micrococcus	0.10536728994918973	3	0.4168411256137708	4	0.09080065219490129	1.8198360408337673	-0.1558021992571159	0.04545088859635627	True	False	LOW_CURRENT_CONCERN
Bradyrhizobium	0.09374535867362607	3	0.34363847252255647	5	0.09080065219490129	2.4086679707115666	0.10290592043361922	0.1842998950823161	False	False	BIOLOGICALLY_PLAUSIBLE_BUT_CONTAMINATION_SENSITIVE
Aquabacterium	0.14610550438203276	5	0.38500209477628416	2	0.09080065219490129	3.6294272544935886	-0.23717715574099285	-0.163151270941991	False	False	LOW_CURRENT_CONCERN
Prevotella	0.16294765422879443	3	0.4902364773906457	2	0.09080065219490129	5.371533885961301	-0.06763928876510408	0.14567798958590386	True	False	LOW_CURRENT_CONCERN
Sulfuritalea	0.3224663610359864	4	0.7644840110980022	7	0.09080065219490129	2.6675967396854587	-0.022037698413586337	0.09264954641341863	True	False	LOW_CURRENT_CONCERN
Escherichia	0.17512346695603437	3	0.5484656474383708	2	0.09080065219490129	2.7696845586752983	-0.3789246635402126	-0.14609690600055017	False	False	LOW_CURRENT_CONCERN
Moraxella	0.07908246190170587	2	0.30861186566188453	5	0.09080065219490129	2.0815718784191093	-0.056004848919219294	0.0407044225465367	True	True	LOW_CURRENT_CONCERN
Shinella	0.20906848021941166	3	0.5207360363668292	1	0.09080065219490129	5.456183337703042	-0.11917726078301001	-0.011804320171667331	False	False	LOW_CURRENT_CONCERN
Cutibacterium	0.15029743586000413	4	0.495766406681371	3	0.09080065219490129	2.57186715344038	-0.37972786905988165	-0.28513442878852735	False	False	LOW_CURRENT_CONCERN
