category	value	notes
expression_samples	62	Expected 62
unique_patients	62	Expected 62
duplicated_patients	0	Expected 0
missing_scores	0	Expected 0
infinite_scores	0	Expected 0
expression_sample_order_matches_crosswalk	1	Expected TRUE
common_gene_missing_count	575	ABP1,ACCN1,ACCN2,ADRBK1,ADRBK2,CRISP1,AIM1,ALPPL2,AMELY,APOC3,ATP5A1,ATP5B,ATP5C1,ATP5D,ATP5E,ATP5F1,ATP5G1,ATP5G2,ATP5G3,ATP5I,ATP5J,ATP5O,AVP,BAI1,BAI2,BAI3,CCBL1,CD97,CDX4,CENPC1,CETN1,CGA,CCBP2,CPN1,CRX,CRYGA,CRYGB,CRYGC,CRYGD,CSH2,CSHL1,CSN1S1,CSN2,CSN3,CTPS,CTSL1,CTSL2,TEX28,CYLC1,CYLC2,CYP11B2,DBC1,DEFA5,DEFA6,DFNA5,DMRT1,DOM3Z,EMR1,EPB49,F9,FIGF,DARC,FYB,GAGE1,GABRA6,GBAS,GDF2,GH2,GHRH,GIP,GK2,GPR6,GPER,GPR32,GPX5,GSTT1,GUCY1A3,GUCY1B3,HBZ,CFHR2,HTN3,HTR5A,ICT1,IFNA2,IFNA6,IFNA10,IL3,IL8,IL9,KAL1,KRT33A,KRT33B,LALBA,LECT2,MAGEA1,MAGEA4,MAGEA11,MAGEA12,MAGEB1,MAGEB3,MAGEB4,MC3R,SMCP,MFI2,SCGB2A2,CTAGE5,MLL,MLLT4,MOS,MRE11A,MYCL1,MYF6,MYL1,MYOD1,NEUROG1,NHP2L1,NPPB,NRD1,ODF1,OR1D2,PARK2,PDHA2,PDYN,PKM2,POU4F2,PPYR1,PRKRIR,PRM1,PRM2,PVRL1,PVRL2,RAGE,RGR,RIT2,SAA3P,SC4MOL,SC5DL,SCN10A,SEMG2,SEPP1,SEPW1,SLC10A2,SOLH,SOX1,SOX3,SRPR,SSFA2,SSX1,SSX2,SSX5,STATH,SULT2A1,SYCP1,T,TBCE,TCEB1,TCEB2,TCEB3,TFAP2B,TPTE,TSSC1,TUBA3C,UFD1L,VPREB1,WHSC1,WHSC2,ZFP161,ZIC3,ZNF187,ZNF192,ZNF193,RDBP,MTERF,SHFM1,MLL2,PAR5,DGCR14,HIST1H4G,OR1A1,OR1G1,SDPR,SIP1,IKBKAP,CSDA,PPAP2A,PPAP2C,PPAP2B,RTCD1,PAGE1,ADAM18,AKAP4,ZNF259,FAM127A,RAB7L1,TAAR5,RQCD1,NEURL,PTPLA,BMP15,FAIM3,LARGE,GPR50,BZRAP1,TAAR2,GPR56,ACCN3,SEP15,PAGE4,ATP5J2,BRE,MTL5,KIAA0430,TTC35,KIAA0226,MLL4,KIAA0247,PHF16,KIAA0101,KIAA0195,FAM38A,KIAA0174,KIAA0141,KIAA0494,KIAA0748,KIAA0528,KIAA0649,TOMM70A,KIAA0317,LPPR4,KIAA0196,KIAA0020,MAGEC1,DOPEY2,HNRPDL,ROD1,CST8,GPR64,CNIH,LHFP,INADL,SSX3,SLC17A2,HRSP12,DSCR4,DSCR3,KBTBD10,COX4NB,TMEM5,CACNG2,TUBB4,TUBB2C,PRG3,GNB2L1,PGCP,ZNF238,ATP5H,LEPREL2,HBXIP,ATP5L,SCGB1D2,SCGB1D1,SLMO1,MGEA5,ZNF271,OR5I1,SDCCAG3,SMR3B,PPBPL2,GCN1L1,LILRA3,B3GNT1,LECT1,ADAM30,PROSC,GPR44,CHP,COPG,KIAA1009,LPHN1,KIAA0907,PCNX,AZI1,DOPEY1,KIAA0913,WAPAL,KIAA0090,SPG20,GLT25D2,KIAA0182,KIAA0922,LPHN2,CAMSAP1L1,KIAA0664,LPHN3,KIAA1107,ZCCHC11,KIAA1033,PHF15,KIAA1045,TENC1,KIAA0776,KIAA0947,KIAA0368,ATP1B4,KIAA0240,KIAA0146,SKIV2L2,OR52A1,PPY2,KCNE1L,TMEM2,NAT6,CCDC19,CCRN4L,DFNB31,BRP44,PVRL3,GPR124,DAK,ZZZ3,ODZ4,NELF,LRIT1,KIAA1279,LCE2B,CLDN17,FGF21,OR7A17,OR10J1,FXC1,EIF2C1,OR12D2,OR11A1,OR10H3,OR7E24,OR7C2,OR2W1,OR2H1,NGFRAP1,D4S234E,ATP5S,RTDR1,GPR77,ITGB1BP3,DIMT1L,CECR5,KIAA0284,CCDC56,PRO1768,HSPC159,LGALS13,FTSJ2,GLTSCR2,GLTSCR1,ERO1L,RAX,PLA2G2E,NOX3,RDH8,HDGFRP3,TAS2R16,TAS2R1,MTERFD1,SLMO2,CCDC53,PRLH,FAM108B1,SUV420H1,TTC15,FAM82B,UTP11L,CCDC41,HN1,WBP5,LUZP4,IGF2AS,TCEB3B,TFDP3,CHCHD8,PLUNC,TXNDC3,KRT76,CCDC72,MAGEC2,CABP2,PTPLAD1,TH1L,CCRL1,HMP19,FAM96B,VPS24,BRP44L,TMEM66,SELT,SEPX1,ZAK,CECR1,BCMO1,DSCR6,FAM134B,SMCR7L,FAM64A,CCDC76,FAM105A,SCAND2,FAM63B,PCDHB17,BTN2A3,FAM55D,FAM46C,MS4A12,WHSC1L1,CCDC99,HEATR2,DUS2L,ZNF434,CPSF3L,MOSC2,CCDC109B,FAM70A,AIM1L,GPR172B,FEZF2,RNMTL1,LEPREL1,TMEM57,KIRREL,KIAA1704,ACCN4,FAM48A,FAM46A,ZNF673,SMEK1,CCDC94,TMEM48,ODZ3,FAM63A,TMEM111,ZNF167,LOC55908,ERBB2IP,CCBL2,WDR45L,CABP5,MMP26,ERO1LB,LGALS14,OTOR,PRDM9,ACN9,CXCR7,CASC5,TRIM49,SPINLW1,PAK7,GPR126,KIAA1199,MKL2,MKL1,KIAA1467,USP29,KIAA1598,KIAA1609,FAM5B,HMHB1,NEUROD4,SQRDL,PRUNE,PROL1,FAM60A,TMEM35,BPESC1,NYX,FAM38B,DUSP21,ANKRD5,CCDC90A,NEUROD6,PRDM14,MMP27,GFRA4,ELSPBP1,NPVF,ELTD1,LEPRE1,MS4A5,ZNF323,ZFP106,NARFL,LPPR2,MOSC1,FAM59A,RABL5,IL25,AGXT2L1,ANKRD57,ZNF643,PYCRL,GRAMD3,MGC2752,MRP63,OBFC2B,TRIM48,FAM134A,FAM65A,GPR172A,EFTUD1,NARG2,ZCCHC6,MLF1IP,QTRTD1,GLT25D1,ALS2CR8,MOBKL2B,CCDC48,JMJD5,TMEM180,GRRP1,PHF17,ZNF767,OBFC1,PCNXL2,SLC24A6,FLJ14107,ATHL1,KIAA1539,PPP1R2P9,TMEM22,JHDM1D,CFHR5,TM7SF4,WBSCR16,DEFB126,LOC81691,OR12D3,SPACA1,LRRC48,TMEM93,NACAP1,MFSD7,EMR3,MINA,KIAA1751,FAM125B,HN1L,WDR67,ATPIF1,TSGA14,PRKCDBP,CCDC101,WBSCR22,MTERFD2,VENTXP1,RPL10L,ZNRF4,FAM134C,GPR125,EIF2C3,EIF2C4,PTPLB,EFHA1,GPR116,PRPS1L1,GPR97,ADAM5P,GPR110,PTRF,FAM5C,PRAMEF10,TMEM110,SETD8,UBE2NL,OR7A10,LOC441601,KIAA0754
SI_gene_missing_count	5	FYB,GPR124,LPPR4,TXNDC3,ODZ4
