dataset_id	signature_name	genes_expected	genes_observed	coverage_fraction
GSE71729	TF_PROXY_ZBTB7A	1	1	1.0
GSE71729	TF_PROXY_ZNF24	1	1	1.0
GSE71729	TF_PROXY_ZNF384	1	1	1.0
GSE71729	TF_PROXY_ZNF639	1	1	1.0
GSE71729	TF_PROXY_ZNF740	1	1	1.0
GSE71729	MEblack	270	65	0.24074074074074073
GSE71729	MEblue	1691	488	0.2885866351271437
GSE71729	MEgreen	515	173	0.3359223300970874
GSE71729	MEgreenyellow	166	50	0.30120481927710846
GSE71729	MEpurple	200	32	0.16
GSE71729	MEred	354	138	0.3898305084745763
GSE71729	MEtan	103	66	0.6407766990291263
GSE62452	Moffitt50_basal	25	22	0.88
GSE62452	Moffitt50_classical	25	23	0.92
GSE62452	Moffitt49_no_LEMD1_basal	24	21	0.875
GSE62452	PurIST_pairs	8	7	0.875
GSE62452	HALLMARK_PROTEIN_SECRETION	15	12	0.8
GSE62452	HALLMARK_SPERMATOGENESIS	15	15	1.0
GSE62452	HALLMARK_MYOGENESIS	0	0	
GSE62452	HALLMARK_PANCREAS_BETA_CELLS	0	0	
GSE62452	HALLMARK_HEDGEHOG_SIGNALING	0	0	
GSE62452	HALLMARK_BILE_ACID_METABOLISM	0	0	
GSE62452	HALLMARK_PEROXISOME	0	0	
GSE62452	TF_PROXY_BHLHE40	1	1	1.0
GSE62452	TF_PROXY_CTCFL	1	1	1.0
GSE62452	TF_PROXY_E2F6	1	1	1.0
GSE62452	TF_PROXY_ELF1	1	1	1.0
GSE62452	TF_PROXY_FOXK2	1	1	1.0
GSE62452	TF_PROXY_GFI1B	1	0	0.0
GSE62452	TF_PROXY_GRHL2	1	1	1.0
GSE62452	TF_PROXY_IRF3	1	1	1.0
GSE62452	TF_PROXY_JUNB	1	1	1.0
GSE62452	TF_PROXY_KDM5B	1	1	1.0
GSE62452	TF_PROXY_KLF1	1	1	1.0
GSE62452	TF_PROXY_KLF13	1	1	1.0
GSE62452	TF_PROXY_KLF9	1	0	0.0
GSE62452	TF_PROXY_MAFF	1	1	1.0
GSE62452	TF_PROXY_MBD1	1	1	1.0
GSE62452	TF_PROXY_MBD2	1	1	1.0
GSE62452	TF_PROXY_MNT	1	1	1.0
GSE62452	TF_PROXY_MXI1	1	1	1.0
GSE62452	TF_PROXY_OTX2	1	1	1.0
GSE62452	TF_PROXY_SIX5	1	1	1.0
GSE62452	TF_PROXY_SNAI2	1	1	1.0
GSE62452	TF_PROXY_SNAPC4	1	0	0.0
GSE62452	TF_PROXY_STAT1	1	1	1.0
GSE62452	TF_PROXY_TEAD4	1	1	1.0
GSE62452	TF_PROXY_TFAP4	1	1	1.0
GSE62452	TF_PROXY_TP63	1	1	1.0
GSE62452	TF_PROXY_TWIST1	1	1	1.0
GSE62452	TF_PROXY_ZBED1	1	0	0.0
GSE62452	TF_PROXY_ZBTB11	1	1	1.0
GSE62452	TF_PROXY_ZBTB7A	1	1	1.0
GSE62452	TF_PROXY_ZNF24	1	1	1.0
GSE62452	TF_PROXY_ZNF384	1	1	1.0
GSE62452	TF_PROXY_ZNF639	1	1	1.0
GSE62452	TF_PROXY_ZNF740	1	1	1.0
GSE62452	MEblack	270	76	0.2814814814814815
GSE62452	MEblue	1691	601	0.35541099940863397
GSE62452	MEgreen	515	205	0.39805825242718446
GSE62452	MEgreenyellow	166	62	0.37349397590361444
GSE62452	MEpurple	200	39	0.195
GSE62452	MEred	354	148	0.4180790960451977
GSE62452	MEtan	103	67	0.6504854368932039
