cohort	expression_matrix	sample_metadata	samples	genes	metadata_rows	qualified_phase9a_cohort	phase9b1r_action
TCGA_PAAD	03_processed/external/phase9_bulk/TCGA_PAAD/TCGA_PAAD_expression_gene_by_sample.tsv.gz	03_processed/external/phase9_bulk/TCGA_PAAD/TCGA_PAAD_sample_metadata.tsv	178	59427	178	True	reuse_locked_qualified_processed_bulk_input
GSE71729	03_processed/external/phase9_bulk/GSE71729/GSE71729_expression_gene_by_sample.tsv.gz	03_processed/external/phase9_bulk/GSE71729/GSE71729_sample_metadata.tsv	145	19736	145	True	reuse_locked_qualified_processed_bulk_input
GSE62452	03_processed/external/phase9_bulk/GSE62452/GSE62452_expression_gene_by_sample.tsv.gz	03_processed/external/phase9_bulk/GSE62452/GSE62452_sample_metadata.tsv	69	31886	69	True	reuse_locked_qualified_processed_bulk_input
