TF	regulon_version	confidence_levels	targets_expected	targets_observed	target_coverage_fraction	retained	activity_score_direction
ZFX	1.22.0	A;B;C	54	54	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
ZKSCAN1	1.22.0	A;B;C	47	44	0.936170212765957	TRUE	VIPER_NES_positive_or_negative_TF_activity
ZNF143	1.22.0	A;B;C	51	50	0.980392156862745	TRUE	VIPER_NES_positive_or_negative_TF_activity
ZNF217	1.22.0	A;B;C	11	11	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
ZNF24	1.22.0	A;B;C	20	20	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
ZNF263	1.22.0	A;B;C	317	311	0.981072555205047	TRUE	VIPER_NES_positive_or_negative_TF_activity
ZNF274	1.22.0	A;B;C	18	18	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
ZNF384	1.22.0	A;B;C	66	65	0.984848484848485	TRUE	VIPER_NES_positive_or_negative_TF_activity
ZNF592	1.22.0	A;B;C	14	14	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
ZNF639	1.22.0	A;B;C	29	26	0.896551724137931	TRUE	VIPER_NES_positive_or_negative_TF_activity
ZNF740	1.22.0	A;B;C	38	38	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
