TF	regulon_version	confidence_levels	targets_expected	targets_observed	target_coverage_fraction	retained	activity_score_direction
FLI1	1.22.0	A;B;C	13	13	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
FOS	1.22.0	A;B;C	90	90	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
FOSL1	1.22.0	A;B;C	11	11	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
FOSL2	1.22.0	A;B;C	10	10	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
FOXA1	1.22.0	A;B;C	31	31	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
FOXA2	1.22.0	A;B;C	11	11	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
FOXJ2	1.22.0	A;B;C	37	36	0.972972972972973	TRUE	VIPER_NES_positive_or_negative_TF_activity
FOXK2	1.22.0	A;B;C	51	50	0.980392156862745	TRUE	VIPER_NES_positive_or_negative_TF_activity
FOXL2	1.22.0	A;B;C	23	22	0.956521739130435	TRUE	VIPER_NES_positive_or_negative_TF_activity
FOXM1	1.22.0	A;B;C	34	34	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
FOXO1	1.22.0	A;B;C	43	43	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
FOXO3	1.22.0	A;B;C	38	38	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
FOXO4	1.22.0	A;B;C	14	14	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
FOXP1	1.22.0	A;B;C	174	172	0.988505747126437	TRUE	VIPER_NES_positive_or_negative_TF_activity
FOXP2	1.22.0	A;B;C	36	36	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
GABPA	1.22.0	A;B;C	54	54	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
GATA1	1.22.0	A;B;C	15	14	0.933333333333333	FALSE	VIPER_NES_positive_or_negative_TF_activity
GATA2	1.22.0	A;B;C	40	39	0.975	TRUE	VIPER_NES_positive_or_negative_TF_activity
GATA3	1.22.0	A;B;C	73	71	0.972602739726027	TRUE	VIPER_NES_positive_or_negative_TF_activity
GATA4	1.22.0	A;B;C	10	10	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
GATA6	1.22.0	A;B;C	53	52	0.981132075471698	TRUE	VIPER_NES_positive_or_negative_TF_activity
GFI1B	1.22.0	A;B;C	29	29	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
GLI2	1.22.0	A;B;C	16	16	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
GRHL2	1.22.0	A;B;C	79	77	0.974683544303798	TRUE	VIPER_NES_positive_or_negative_TF_activity
HBP1	1.22.0	A;B;C	39	39	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
HHEX	1.22.0	A;B;C	11	11	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
HIF1A	1.22.0	A;B;C	148	146	0.986486486486486	TRUE	VIPER_NES_positive_or_negative_TF_activity
HINFP	1.22.0	A;B;C	16	14	0.875	FALSE	VIPER_NES_positive_or_negative_TF_activity
HMBOX1	1.22.0	A;B;C	27	27	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
HNF1A	1.22.0	A;B;C	27	27	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
HNF1B	1.22.0	A;B;C	40	40	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
HNF4A	1.22.0	A;B;C	84	82	0.976190476190476	TRUE	VIPER_NES_positive_or_negative_TF_activity
HNF4G	1.22.0	A;B;C	56	56	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
HOXA9	1.22.0	A;B;C	22	22	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
HOXB13	1.22.0	A;B;C	46	44	0.956521739130435	TRUE	VIPER_NES_positive_or_negative_TF_activity
HSF1	1.22.0	A;B;C	12	12	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
IKZF1	1.22.0	A;B;C	40	39	0.975	TRUE	VIPER_NES_positive_or_negative_TF_activity
IRF1	1.22.0	A;B;C	32	32	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
IRF2	1.22.0	A;B;C	76	74	0.973684210526316	TRUE	VIPER_NES_positive_or_negative_TF_activity
IRF3	1.22.0	A;B;C	74	72	0.972972972972973	TRUE	VIPER_NES_positive_or_negative_TF_activity
IRF4	1.22.0	A;B;C	68	67	0.985294117647059	TRUE	VIPER_NES_positive_or_negative_TF_activity
IRF9	1.22.0	A;B;C	12	12	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
JUN	1.22.0	A;B;C	121	121	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
JUNB	1.22.0	A;B;C	52	51	0.980769230769231	TRUE	VIPER_NES_positive_or_negative_TF_activity
JUND	1.22.0	A;B;C	19	18	0.947368421052632	TRUE	VIPER_NES_positive_or_negative_TF_activity
KDM5B	1.22.0	A;B;C	18	17	0.944444444444444	TRUE	VIPER_NES_positive_or_negative_TF_activity
KLF1	1.22.0	A;B;C	51	50	0.980392156862745	TRUE	VIPER_NES_positive_or_negative_TF_activity
KLF13	1.22.0	A;B;C	31	30	0.967741935483871	TRUE	VIPER_NES_positive_or_negative_TF_activity
KLF3	1.22.0	A;B;C	13	13	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
KLF4	1.22.0	A;B;C	12	12	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
KLF5	1.22.0	A;B;C	82	82	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
KLF6	1.22.0	A;B;C	51	50	0.980392156862745	TRUE	VIPER_NES_positive_or_negative_TF_activity
KLF9	1.22.0	A;B;C	68	68	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
KMT2A	1.22.0	A;B;C	11	11	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
LEF1	1.22.0	A;B;C	22	22	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
LHX2	1.22.0	A;B;C	10	10	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
LYL1	1.22.0	A;B;C	84	84	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
MAF	1.22.0	A;B;C	39	38	0.974358974358974	TRUE	VIPER_NES_positive_or_negative_TF_activity
MAFB	1.22.0	A;B;C	53	53	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
MAFF	1.22.0	A;B;C	42	42	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
MAFG	1.22.0	A;B;C	37	36	0.972972972972973	TRUE	VIPER_NES_positive_or_negative_TF_activity
MAFK	1.22.0	A;B;C	50	50	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
MAX	1.22.0	A;B;C	55	55	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
MAZ	1.22.0	A;B;C	72	72	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
MBD1	1.22.0	A;B;C	44	44	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
MBD2	1.22.0	A;B;C	32	31	0.96875	TRUE	VIPER_NES_positive_or_negative_TF_activity
MEF2A	1.22.0	A;B;C	102	101	0.990196078431373	TRUE	VIPER_NES_positive_or_negative_TF_activity
MEF2B	1.22.0	A;B;C	36	36	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
MEF2C	1.22.0	A;B;C	73	70	0.958904109589041	TRUE	VIPER_NES_positive_or_negative_TF_activity
MEIS1	1.22.0	A;B;C	53	53	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
MEIS2	1.22.0	A;B;C	62	61	0.983870967741936	TRUE	VIPER_NES_positive_or_negative_TF_activity
MITF	1.22.0	A;B;C	35	35	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
MNT	1.22.0	A;B;C	56	55	0.982142857142857	TRUE	VIPER_NES_positive_or_negative_TF_activity
MXI1	1.22.0	A;B;C	77	76	0.987012987012987	TRUE	VIPER_NES_positive_or_negative_TF_activity
MYB	1.22.0	A;B;C	25	25	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
MYBL2	1.22.0	A;B;C	27	27	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
MYC	1.22.0	A;B;C	386	381	0.987046632124352	TRUE	VIPER_NES_positive_or_negative_TF_activity
MYCN	1.22.0	A;B;C	13	13	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
MYOD1	1.22.0	A;B;C	47	45	0.957446808510638	TRUE	VIPER_NES_positive_or_negative_TF_activity
NANOG	1.22.0	A;B;C	49	47	0.959183673469388	TRUE	VIPER_NES_positive_or_negative_TF_activity
NCOA1	1.22.0	A;B;C	20	20	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
NCOA2	1.22.0	A;B;C	18	18	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
NCOA3	1.22.0	A;B;C	23	23	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
