cohort_id	feature_name	model_id	term	patient_count	ROI_count	segment_count	replicate_unit	inferential_unit	random_effect_structure	model_converged	reduced_model_level	reduction_reason	inference_method	denominator_df	influential_patient_check	eligibility_status	coefficient	std_error	ci_low	ci_high	p_value	q_value
HWANG_GSE202051_NAIVE	HALLMARK_PROTEIN_SECRETION	HWANG_GSE202051_NAIVE_MODEL_A	is_tumor	13	127	373	patient	segment	(1 | patient_id) + (1 | patient_id:ROI_id)	True	Level 2	lymphoid_fraction unavailable in official segment metadata; immune segment area used as myeloid_fraction	statsmodels_asymptotic_z_locked_plan	infinite_asymptotic_z	EXECUTED_LOPO	ELIGIBLE	0.047949313701268516	0.0031372799735931967	0.04180024495302585	0.05409838244951118	9.817055033449941e-53	2.9451165100349825e-52
HWANG_GSE202051_NAIVE	HALLMARK_PROTEIN_SECRETION	HWANG_GSE202051_NAIVE_MODEL_B	Moffitt50_contrast	13	125	125	patient	segment	(1 | patient_id)	True	Level 2	lymphoid_fraction unavailable in official segment metadata; immune segment area used as myeloid_fraction	statsmodels_asymptotic_z_locked_plan	infinite_asymptotic_z	EXECUTED_LOPO	ELIGIBLE	0.003517342847154561	0.0031898526108785027	-0.002734768270167304	0.009769453964476427	0.27017212424734605	0.40525818637101907
HWANG_GSE202051_NAIVE	HALLMARK_PROTEIN_SECRETION	HWANG_GSE202051_NAIVE_MODEL_C	Moffitt50_contrast	13	125	125	patient	ROI	(1 | patient_id)	True	Level 1	none	statsmodels_asymptotic_z_locked_plan	infinite_asymptotic_z	EXECUTED_LOPO	ELIGIBLE	0.0024328862056850684	0.003308494303268416	-0.004051762628721027	0.008917535040091164	0.4621291396968594	0.4621291396968594
HWANG_GSE202051_NAIVE	HALLMARK_SPERMATOGENESIS	HWANG_GSE202051_NAIVE_ELIGIBILITY_GATE	not_fit	13	127	373	patient	none	not_fit	NOT_FIT_INELIGIBLE	not_fit	feature below locked 80% coverage threshold	not_applicable_ineligible		NOT_APPLICABLE	INSUFFICIENT_SPATIAL_DATA						
