test	term	n	df_term	df_residual	sum_squares_term	sum_squares_residual	pseudo_F	r_squared	p_value	permutations	random_seed	sums_of_squares	inference	analysis_role	F_statistic	interpretation
PERMANOVA	public_subtype	62	2	59	957.4028221494445	11095.366506992023	2.5455115192103244	0.07943426079138623	0.0001	9999	2026	single_predictor	two-sided_permutation_location_test	descriptive		
PERMDISP_betadisper	public_subtype	62	2	59					0.5047	9999	2026			descriptive	0.8411706194978117	categorical_dispersion_test_only_not_continuous_predictor_dispersion
