axis_metric	stability_metric	spearman_rho	p_value	adjusted_p_value
basal_classical_contrast	assignment_entropy	-0.5572429364954982	2.548428640610976e-06	1.3591619416591872e-05
basal_classical_contrast	item_consensus	0.7002845559164967	2.3751794518437605e-10	3.800287122950017e-09
basal_classical_contrast	silhouette_width	0.5296013698975096	9.593633294288593e-06	3.837453317715437e-05
basal_classical_contrast	bootstrap_assignment_frequency	0.5592666327915522	2.301823014955647e-06	1.3591619416591872e-05
midpoint_proximity	assignment_entropy	0.14069878222437313	0.2753811487373159	0.44060983797970543
midpoint_proximity	item_consensus	0.1037747727329959	0.42216861022576124	0.6140634330556527
midpoint_proximity	silhouette_width	-0.20183324519654505	0.11568834268479944	0.30850224715946517
midpoint_proximity	bootstrap_assignment_frequency	-0.14490184376233156	0.2611482495331445	0.44060983797970543
coactivation_score	assignment_entropy	0.08866755349141936	0.4931469157089886	0.63510577327722
coactivation_score	item_consensus	-0.4772793090367125	8.770817215982254e-05	0.0002806661509114321
coactivation_score	silhouette_width	-0.17612470254855522	0.17090068432053096	0.39063013558978504
coactivation_score	bootstrap_assignment_frequency	-0.0840493166160799	0.5160234407877412	0.63510577327722
distance_to_both_poles	assignment_entropy	0.03974747084044618	0.7590535821895525	0.7590535821895525
distance_to_both_poles	item_consensus	0.14608043111480445	0.25724784959894426	0.44060983797970543
distance_to_both_poles	silhouette_width	0.04651104228047644	0.719617852722867	0.7590535821895525
distance_to_both_poles	bootstrap_assignment_frequency	-0.04597422867445864	0.7227229033993324	0.7590535821895525
