feature_name	feature_family	composition_covariate	eligible_patients	coefficient	confidence_interval_low	confidence_interval_high	p_value	model_diagnostics	q_value	dataset_id	localization_interpretation
MBD1	partially replicated TF	endothelial_fraction	35	0.172881765489201	-0.776980728722131	1.12274425970053	0.723561952599973	HC3_OLS; residual_sd=0.2748	0.783858781983304	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
MBD2	partially replicated TF	endothelial_fraction	35	0.356384048373221	-0.00891206226041097	0.721680159006852	0.0645666775785202	HC3_OLS; residual_sd=0.1952	0.167873361704153	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
OTX2	partially replicated TF	endothelial_fraction	35	0.691901388151408	0.367073574010364	1.01672920229245	0.000204249978101526	HC3_OLS; residual_sd=0.1188	0.00265524971531984	PENG_CRA001160	PARTLY_EXPLAINED_BY_CELL_COMPOSITION
SIX5	partially replicated TF	endothelial_fraction	35	1.24538916770363	0.17235019650147	2.31842813890579	0.029543988885615	HC3_OLS; residual_sd=0.3053	0.0960179638782488	PENG_CRA001160	PARTLY_EXPLAINED_BY_CELL_COMPOSITION
SNAPC4	partially replicated TF	endothelial_fraction	35	-0.159800814930725	-0.959864565766736	0.640262935905286	0.697958400552483	HC3_OLS; residual_sd=0.2293	0.783858781983304	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
ZBED1	partially replicated TF	endothelial_fraction	35	-0.782014054178556	-1.27969071661243	-0.284337391744684	0.00415524341502858	HC3_OLS; residual_sd=0.252	0.0270090821976858	PENG_CRA001160	PARTLY_EXPLAINED_BY_CELL_COMPOSITION
ZNF384	partially replicated TF	endothelial_fraction	35	0.428021970898103	-0.390675005847086	1.24671894764329	0.312955523441063	HC3_OLS; residual_sd=0.2269	0.508552725591727	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
ZNF740	partially replicated TF	endothelial_fraction	35	0.128341542406282	-0.944093904090061	1.20077698890263	0.816000298600758	HC3_OLS; residual_sd=0.244	0.816000298600758	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
HALLMARK_PROTEIN_SECRETION	Hallmark	fibroblast_caf_fraction	35	0.0106025989940405	-0.0136774700853088	0.0348826680733898	0.398230207407394	HC3_OLS; residual_sd=0.0126	0.398230207407394	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
HALLMARK_SPERMATOGENESIS	Hallmark	fibroblast_caf_fraction	35	0.0207909361538405	0.00241298713457991	0.039168885173101	0.0335989582873536	HC3_OLS; residual_sd=0.01276	0.0671979165747071	PENG_CRA001160	PARTLY_EXPLAINED_BY_CELL_COMPOSITION
MEblack	WGCNA-module	fibroblast_caf_fraction	35	0.029381546361893	-0.0115048432282473	0.0702679359520334	0.168340267596489	HC3_OLS; residual_sd=0.02145	0.210425334495611	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
MEblue	WGCNA-module	fibroblast_caf_fraction	35	0.0543248835983807	-0.0111918664865471	0.119841633683309	0.113637460987179	HC3_OLS; residual_sd=0.03794	0.189395768311966	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
MEgreen	WGCNA-module	fibroblast_caf_fraction	35	0.0222719364919003	-0.0636555737476745	0.108199446731475	0.614817657126509	HC3_OLS; residual_sd=0.04902	0.614817657126509	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
MEtan	WGCNA-module	fibroblast_caf_fraction	35	-0.041004375490895	-0.0715252645508368	-0.0104834864309532	0.0127707671318958	HC3_OLS; residual_sd=0.01918	0.0319269178297396	PENG_CRA001160	PARTLY_EXPLAINED_BY_CELL_COMPOSITION
MEgreenyellow	WGCNA-module	fibroblast_caf_fraction	35	-0.103316885663676	-0.177705677668337	-0.0289280936590141	0.010276665069445	HC3_OLS; residual_sd=0.03596	0.0319269178297396	PENG_CRA001160	PARTLY_EXPLAINED_BY_CELL_COMPOSITION
CTCFL	externally replicated TF	fibroblast_caf_fraction	35	0.33424245782897	-0.501030095599123	1.16951501125706	0.438450425184344	HC3_OLS; residual_sd=0.3422	0.869661989076846	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
IRF3	externally replicated TF	fibroblast_caf_fraction	35	1.20195242417797	-0.0595929512681408	2.46349779962409	0.0707476096684319	HC3_OLS; residual_sd=0.4063	0.282990438673728	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
JUNB	externally replicated TF	fibroblast_caf_fraction	35	0.734382687356026	0.283927800017167	1.18483757469489	0.00306997203746246	HC3_OLS; residual_sd=0.2635	0.0368396644495495	PENG_CRA001160	PARTLY_EXPLAINED_BY_CELL_COMPOSITION
KLF13	externally replicated TF	fibroblast_caf_fraction	35	-0.284799768330031	-1.11751756271309	0.547918026053033	0.507302826961493	HC3_OLS; residual_sd=0.2431	0.869661989076846	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
KLF9	externally replicated TF	fibroblast_caf_fraction	35	-0.0939288093427623	-1.20698785722375	1.01913023853823	0.869637920371915	HC3_OLS; residual_sd=0.4767	0.966949629496334	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
