genus	spearman_rho	p_value	bootstrap_ci_lower	bootstrap_ci_upper	bootstrap_iterations	direction	analysis_role	bh_q_value
Escherichia	-0.20294125053511622	0.11366062730570747	-0.4597986937960206	0.0682890251852283	2000	negative	supporting	0.24549878840470715
Moraxella	-0.10271713127345068	0.42693916811160604	-0.36022764186409945	0.158498468709184	2000	negative	supporting	0.591892937609272
Shinella	-0.161491778096749	0.20985684402800134	-0.38473497352105984	0.08913976348698839	2000	negative	supporting	0.3710512314697995
Cutibacterium	-0.3330815139382035	0.008161535636565473	-0.5494953916260213	-0.08101991336011928	2000	negative	supporting	0.03260634841890693
Chryseobacterium	0.332477147389892	0.008285219680214057	0.0990736703776896	0.5218411056467949	2000	positive	supporting	0.03260634841890693
Aminobacter	0.01014832162373146	0.9376023508995175	-0.2493858737120125	0.25615051828918195	2000	positive	supporting	0.9532290567478428
Sphingopyxis	-0.43637782982045276	0.0003916792475457389	-0.6487741656027946	-0.18233568028055105	2000	negative	supporting	0.0031381000436455438
Thiomonas	-0.06590113570547204	0.6108226116744722	-0.3291740857965853	0.1975774031575551	2000	negative	supporting	0.7617728605496585
Flavobacterium	-0.44901916345596943	0.0002516106985962402	-0.6365351759211129	-0.2164026520900881	2000	negative	supporting	0.0023612696329801002
Verminephrobacter	-0.02374656896074136	0.854640143414478	-0.30760169037358703	0.25662295500887533	2000	negative	supporting	0.8911632264663788
Citrobacter	-0.3021580922162625	0.01699299446759501	-0.508523545661155	-0.053139514545130065	2000	negative	supporting	0.06097486250137033
Sphingobium	-0.5774974188512	8.92068859447116e-07	-0.7505067819041714	-0.35419766657973856	2000	negative	supporting	0.00010883240085254814
Methylorubrum	0.2518445770693259	0.048310887570368846	0.02417142807592158	0.4579487482463256	2000	positive	supporting	0.14025409774801206
Ralstonia	-0.24554909219108056	0.05439573064601867	-0.48613562311261166	0.007051809117706982	2000	negative	supporting	0.15082452588214268
Erythrobacter	-0.5216438770114075	1.375669593966859e-05	-0.6872685158117868	-0.30888867695279704	2000	negative	supporting	0.00027971948410659465
Xanthobacter	-0.04741759210294377	0.7143844116461807	-0.3129991863637331	0.20924723288180314	2000	negative	supporting	0.8096154804329908
Paucibacter	0.17549293646596661	0.172465050686416	-0.08867583781457378	0.4245391127610759	2000	positive	supporting	0.31879903308701135
Streptomyces	0.3332829694543074	0.008120667079672779	0.11852582101401812	0.5174996666621188	2000	positive	supporting	0.03260634841890693
Collimonas	0.09843620155624386	0.4465585391829934	-0.16939685877910207	0.34987608708516943	2000	positive	supporting	0.6121364244980358
Bacillus	0.19332174964115736	0.13220065843038856	-0.06700977967541256	0.4220822279557376	2000	positive	supporting	0.2733640733645323
Polaromonas	-0.016443806501976785	0.8990574016794819	-0.27865777189478924	0.24161364573527827	2000	negative	supporting	0.9295339237703119
Ochrobactrum	0.13630983858376775	0.29078445784736673	-0.15887317595048153	0.38351281151190153	2000	positive	supporting	0.47940140347809107
Fusarium	-0.49449774621641357	4.404927356536891e-05	-0.681403951101233	-0.25999189546025026	2000	negative	supporting	0.0006717514218718758
Serratia	-0.21543149253355495	0.09264711214253246	-0.43409954890236363	0.03097807137876556	2000	negative	supporting	0.22162642512527372
Candidatus Accumulibacter	-0.05849764548865554	0.6515397948450494	-0.31815148850210856	0.20556652916094584	2000	negative	supporting	0.7836612586593432
Methylibium	0.18959482259323615	0.13996726171018523	-0.066752572120234	0.4251055687100341	2000	positive	supporting	0.27605292018041355
Novosphingobium	-0.489914633225051	5.310304205269165e-05	-0.6952615110283213	-0.24957185816198582	2000	negative	supporting	0.0007198412367142645
Pseudoxanthomonas	0.11072498803857872	0.3915857701172657	-0.16995118182620977	0.3570084238547194	2000	positive	supporting	0.5613657560768246
