Package	Version	LibPath	Priority
downlit	0.4.5	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
dplyr	1.2.1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
dtplyr	1.3.3	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
ellipsis	0.3.3	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
enrichplot	1.30.5	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
estimate	1.0.13	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
evaluate	1.0.5	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
fansi	1.0.7	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
farver	2.1.2	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
fastmap	1.2.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
fastmatch	1.1-8	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
fgsea	1.36.2	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
filelock	1.0.3	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
fontawesome	0.5.3	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
fontBitstreamVera	0.1.1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
fontLiberation	0.1.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
fontquiver	0.2.1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
forcats	1.0.1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
foreach	1.5.2	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
foreign	0.8-91	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	recommended
formatR	1.14	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
fs	2.0.1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
futile.logger	1.4.9	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
futile.options	1.0.1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
gargle	1.6.1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
gdtools	0.5.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
genefilter	1.92.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
generics	0.1.4	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
GenomicAlignments	1.46.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
GenomicFeatures	1.62.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
GenomicRanges	1.62.1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
GEOquery	2.78.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
gert	2.3.1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
GetoptLong	1.1.1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
ggforce	0.5.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
ggfun	0.2.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
ggiraph	0.9.6	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
ggnewscale	0.5.2	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
ggplot2	4.0.3	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
ggplotify	0.1.3	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
ggrepel	0.9.8	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
ggtangle	0.1.2	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
ggtree	4.0.5	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
gh	1.5.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
gitcreds	0.1.2	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
GlobalOptions	0.1.4	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
glue	1.8.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
GO.db	3.22.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
googledrive	2.1.2	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
googlesheets4	1.1.2	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
GOSemSim	2.36.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
graphics	4.5.3	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	base
grDevices	4.5.3	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	base
grid	4.5.3	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	base
gridExtra	2.3	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
gridGraphics	0.5-1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
gson	0.1.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
gtable	0.3.6	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
h5mread	1.2.1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
haven	2.5.5	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
HDF5Array	1.38.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
highr	0.12	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
hms	1.1.4	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
htmltools	0.5.9	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
htmlwidgets	1.6.4	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
httpuv	1.6.17	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
httr	1.4.8	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
httr2	1.2.2	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
ids	1.0.1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
igraph	2.3.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
IlluminaHumanMethylationEPICmanifest	0.3.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
illuminaio	0.52.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
ini	0.3.1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
IRanges	2.44.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
isoband	0.3.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
iterators	1.0.14	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
jquerylib	0.1.4	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
jsonlite	2.0.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
KEGGREST	1.50.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
KernSmooth	2.23-26	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	recommended
knitr	1.51	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
labeling	0.4.3	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
lambda.r	1.2.4	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
later	1.4.8	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
lattice	0.22-9	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	recommended
lazyeval	0.2.3	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
lifecycle	1.0.5	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
limma	3.66.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
locfit	1.5-9.12	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
lubridate	1.9.5	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
magrittr	2.0.5	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
MASS	7.3-65	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	recommended
Matrix	1.7-4	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	recommended
MatrixGenerics	1.22.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
matrixStats	1.5.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
mclust	6.1.2	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
memoise	2.0.1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
